method,quantization,llama2_ppl,llama2_accuracy_percent,llama3_ppl,llama3_accuracy_percent
OSTQuant,W6A6,5.50,74.84,6.23,77.66
SCNA-8,W6A6,5.54,74.80,6.32,77.62
SCNA-16,W6A6,5.50,74.99,6.24,77.61
SCNA-32,W6A6,5.50,74.75,6.24,77.62
FP16 Baseline,W6A6,5.47,74.63,6.14,77.61
OSTQuant,W4A4,5.95,71.81,7.33,74.48
SCNA-8,W4A4,6.00,72.20,7.44,74.08
SCNA-16,W4A4,5.96,72.57,7.34,74.60
SCNA-32,W4A4,5.95,72.39,7.35,74.16
FP16 Baseline,W4A4,5.47,74.63,6.14,77.61
