model_key,quant_key,mode,attention_path,scna,scna_dim,scna_input_quant_bits,scna_input_clip_min,scna_input_scale,scna_output_floor_log,ppl,ppl_delta_vs_exact_eager,ppl_delta_vs_exact_sdpa,acc_avg,acc_delta_vs_exact_eager,acc_delta_vs_exact_sdpa,arc_challenge,arc_easy,boolq,hellaswag,lambada_openai,openbookqa,piqa,social_iqa,winogrande,returncode,scna_artifact_root,result_dir
llama2_7b,w4a4kv4,scna_d32_maskfix,eager,True,32,0,,1.0,,5.95246696472168,-3.4885826110839844,0.010676860809326172,,,,,,,,,,,,,0,,eval_llama2_7b_w4a4kv4_scna_d32_maskfix
llama2_7b,w4a4kv4,scna_d32_maskfix_acc,eager,True,32,0,,1.0,,5.95246696472168,-3.4885826110839844,0.010676860809326172,0.6277,0.0938,-0.0011999999999999789,0.4403,0.7134,0.7367,0.7326,0.7186,0.408,0.7748,0.4504,0.6748,0,,eval_llama2_7b_w4a4kv4_scna_d32_maskfix_acc
llama2_7b,w4a4kv4,scna_d8,eager,True,8,,,,,238.3765869140625,228.93553733825684,232.43479681015015,0.421,-0.11290000000000006,-0.20790000000000003,0.2782,0.3721,0.6391,0.5431,0.2593,0.256,0.5898,0.349,0.502,0,,eval_llama2_7b_w4a4kv4_scna_d8
llama2_7b,w4a4kv4,scna_d8_maskfix,eager,True,8,0,,1.0,,5.9992594718933105,-3.4417901039123535,0.05746936798095703,,,,,,,,,,,,,0,,eval_llama2_7b_w4a4kv4_scna_d8_maskfix
llama2_7b,w4a4kv4,scna_d8_maskfix_acc,eager,True,8,0,,1.0,,5.9992594718933105,-3.4417901039123535,0.05746936798095703,0.6244,0.09049999999999991,-0.0045000000000000595,0.4283,0.7134,0.7391,0.7316,0.7138,0.412,0.7737,0.4386,0.6693,0,,eval_llama2_7b_w4a4kv4_scna_d8_maskfix_acc
llama2_7b,w6a6kv6,exact_eager20,eager,False,,0,,1.0,,8.303009033203125,-0.016770362854003906,2.802316188812256,,,,,,,,,,,,,0,,exact_llama2_7b_w6a6kv6_eager20
llama2_7b,w6a6kv6,exact_sdpa,sdpa,False,,,,,,5.500692844390869,-2.8190865516662598,0.0,0.6501,0.06510000000000005,0.0,0.4514,0.7386,0.7752,0.7585,0.7347,0.444,0.79,0.4647,0.6938,0,,exact_llama2_7b_w6a6kv6_sdpa
llama2_7b,w6a6kv6,exact_eager,eager,False,,,,,,8.319779396057129,0.0,2.8190865516662598,0.585,0.0,-0.06510000000000005,0.4002,0.6524,0.7199,0.6979,0.6425,0.352,0.7503,0.4135,0.6361,0,,eval_llama2_7b_w6a6kv6_exact_eager
llama2_7b,w6a6kv6,exact_eager_eager20,eager,False,,0,,1.0,,8.303009033203125,-0.016770362854003906,2.802316188812256,,,,,,,,,,,,,0,,eval_llama2_7b_w6a6kv6_exact_eager_eager20
llama2_7b,w6a6kv6,exact_eager_maskfix,eager,False,,0,,1.0,,5.50187873840332,-2.8179006576538086,0.0011858940124511719,,,,,,,,,,,,,0,,eval_llama2_7b_w6a6kv6_exact_eager_maskfix
