context_length,baseline_variant,baseline_label,variant,variant_label,baseline_model_ms,variant_model_ms,model_speedup_vs_baseline_x,baseline_layer_ms,variant_layer_ms,layer_speedup_vs_baseline_x,baseline_attention_core_ms,variant_attention_core_ms,attention_core_speedup_vs_baseline_x,baseline_attention_total_ms,variant_attention_total_ms,attention_total_speedup_vs_baseline_x,baseline_attention_useful_tflops_core,variant_attention_useful_tflops_core,baseline_model_prefill_tokens_per_s,variant_model_prefill_tokens_per_s,attention_share_of_model
2048,baseline,FlashAttention,baseline,FlashAttention,28.401528412328414,28.401528412328414,1.0,0.885450280583614,0.885450280583614,1.0,0.07252267978934646,0.07252267978934646,1.0,0.30136612276612273,0.30136612276612273,1.0,947.5584318671971,947.5584318671971,72108.79535310547,72108.79535310547,0.3395491886390813
2048,baseline,FlashAttention,customsa,FlashAttention-CustomSA,28.401528412328414,28.025363342830012,1.0134223083888987,0.885450280583614,0.8736951221617889,1.0134545313618544,0.07252267978934646,0.060767521367521365,1.1934447572862157,0.30136612276612273,0.28961096434429767,1.0405894799198632,947.5584318671971,1130.8586427342543,72108.79535310547,73076.66184188683,0.33068441417329664
2048,baseline,FlashAttention,illm,FlashAttention + I-LLM,28.401528412328414,29.507939946473282,0.962504616176125,0.885450280583614,0.9200256410256411,0.9624191338803528,0.07252267978934646,0.10709804023137356,0.6771615954191987,0.30136612276612273,0.33594148320814987,0.8970792171546014,947.5584318671971,641.6501794761053,72108.79535310547,69405.04839426352,0.3643130453078486
2048,baseline,FlashAttention,intattention,FlashAttention + IntAttention,28.401528412328414,28.555141673141677,0.994620469316118,0.885450280583614,0.8902506949840284,0.9946077948296344,0.07252267978934646,0.07732309418976085,0.9379174559591011,0.30136612276612273,0.3061665371665372,0.9843209044174436,947.5584318671971,888.7315937894768,72108.79535310547,71720.88387592566,0.3431021040439921
4096,baseline,FlashAttention,baseline,FlashAttention,50.337954692221366,50.337954692221366,1.0,1.5709459207459209,1.5709459207459209,1.0,0.22709071915738582,0.22709071915738582,1.0,0.6007776051109385,0.6007776051109385,1.0,1210.4321478390982,1210.4321478390982,81370.01244973006,81370.01244973006,0.3819162594327818
4096,baseline,FlashAttention,customsa,FlashAttention-CustomSA,50.337954692221366,48.83329441422775,1.0308121804199888,1.5709459207459209,1.5239252870586204,1.030854946818329,0.22709071915738582,0.18007008547008546,1.2611240704670614,0.6007776051109385,0.5537569714236381,1.0849120392406373,1210.4321478390982,1526.5051173070315,81370.01244973006,83877.19995410787,0.36287175170376323
4096,baseline,FlashAttention,illm,FlashAttention + I-LLM,50.337954692221366,54.856391159457836,0.917631539885623,1.5709459207459209,1.7121470603470605,0.9175297830009312,0.22709071915738582,0.3682918587585255,0.6166053192782638,0.6007776051109385,0.7419787447120781,0.8096965167702584,1210.4321478390982,746.3589009830017,81370.01244973006,74667.6898247581,0.43282686536503767
4096,baseline,FlashAttention,intattention,FlashAttention + IntAttention,50.337954692221366,51.11648819822154,0.9847694250242477,1.5709459207459209,1.5952750928084263,0.9847492309181141,0.22709071915738582,0.2514198912198912,0.9032329067343874,0.6007776051109385,0.6251067771734439,0.9610799739325895,1210.4321478390982,1093.3021472974565,81370.01244973006,80130.70037433653,0.3913300301847843
8192,baseline,FlashAttention,baseline,FlashAttention,104.10316177156176,104.10316177156176,1.0,3.251073279806613,3.251073279806613,1.0,0.8453628766295432,0.8453628766295432,1.0,1.5087366485366485,1.5087366485366485,1.0,1300.638646636278,1300.638646636278,78691.17383750624,78691.17383750624,0.46376663236333576
8192,baseline,FlashAttention,customsa,FlashAttention-CustomSA,104.10316177156176,98.08452065958731,1.061361783403752,3.251073279806613,3.0629907450574114,1.0614048655069235,0.8453628766295432,0.6572803418803419,1.2861526851862577,1.5087366485366485,1.3206541137874472,1.1424161957212304,1300.638646636278,1672.8198878282694,78691.17383750624,83519.8046023103,0.4308623966045503
8192,baseline,FlashAttention,illm,FlashAttention + I-LLM,104.10316177156176,122.62501704221704,0.848955329691994,3.251073279806613,3.8298812570145904,0.8488705162469813,0.8453628766295432,1.4241708538375206,0.5935824865055047,1.5087366485366485,2.0875446257446257,0.7227326448163872,1300.638646636278,772.0363219155165,78691.17383750624,66805.29142907013,0.5447618245861674
8192,baseline,FlashAttention,intattention,FlashAttention + IntAttention,104.10316177156176,107.1131895709229,0.9718986260103093,3.251073279806613,3.3451366485366485,0.971880560164505,0.8453628766295432,0.9394262453595786,0.8998714702780831,1.5087366485366485,1.6028000172666839,0.9413130972568585,1300.638646636278,1170.4076112490839,78691.17383750624,76479.8437318107,0.47883552677304486
16384,baseline,FlashAttention,baseline,FlashAttention,251.2029940084607,251.2029940084607,1.0,7.847872312872314,7.847872312872314,1.0,3.318451506518173,3.318451506518173,1.0,4.561199050332384,4.561199050332384,1.0,1325.3309570639387,1325.3309570639387,65222.152564981676,65222.152564981676,0.5810375397266176
16384,baseline,FlashAttention,customsa,FlashAttention-CustomSA,251.2029940084607,227.12842956056292,1.1059953810911125,7.847872312872314,7.095542173875508,1.1060285628019728,3.318451506518173,2.566121367521368,1.2931779254554454,4.561199050332384,3.8088689113355785,1.1975206174089623,1325.3309570639387,1713.8887375978245,65222.152564981676,72135.39948168959,0.5366294540870704
16384,baseline,FlashAttention,illm,FlashAttention + I-LLM,251.2029940084607,324.9645173443841,0.773016685210115,7.847872312872314,10.152919917119918,0.7729670259330206,3.318451506518173,5.623499110765778,0.5901043889497983,4.561199050332384,6.866246654579989,0.664292921561437,1325.3309570639387,782.083614574467,65222.152564981676,50417.81217805053,0.6761350277319954
16384,baseline,FlashAttention,intattention,FlashAttention + IntAttention,251.2029940084607,272.42255840455846,0.9221079028096276,7.847872312872314,8.510983700250367,0.9220875740417002,3.318451506518173,3.981562893896227,0.8334544988867035,4.561199050332384,5.224310437710438,0.8730719785349005,1325.3309570639387,1104.6030486787604,65222.152564981676,60141.86231842482,0.6136714044013494
32768,baseline,FlashAttention,baseline,FlashAttention,703.6803307951307,703.6803307951307,1.0,21.98764763878097,21.98764763878097,1.0,13.210806026072692,13.210806026072692,1.0,15.612301113701113,15.612301113701113,1.0,1331.6512262534372,1331.6512262534372,46566.59930081244,46566.59930081244,0.7099724317630347
