model,system,data_type,batch_size,context_length,variant,variant_label,num_layers,attention_core_ms,q_proj_ms,k_proj_ms,v_proj_ms,o_proj_ms,attention_total_ms,attn_norm_ms,residual_add1_ms,ffn_norm_ms,gate_proj_ms,up_proj_ms,silu_ms,gate_mul_ms,down_proj_ms,residual_add2_ms,ffn_total_ms,non_attention_per_layer_ms,layer_total_ms,decoder_stack_ms,final_norm_ms,lm_head_ms,model_total_ms,attention_share_of_layer,attention_share_of_model,q_mul_k_ms,softmax_ms,softmax_scale,a_mul_v_ms,fused_core_ms,attention_useful_tflops_core,attention_useful_tflops_total,model_prefill_tokens_per_s,decoder_stack_tokens_per_s
llama3_8b_int8,H100 INT8,int8,1,2048,baseline,FlashAttention,32,0.07252267978934646,0.05721086074419408,0.05721086074419408,0.05721086074419408,0.05721086074419408,0.30136612276612273,0.04556579469912804,0.00014144867478200812,0.04556579469912804,0.14773801260467928,0.14773801260467928,0.04896056289389623,0.0004950703617370285,0.14773801260467928,0.00014144867478200812,0.5383769144435812,0.5840841578174912,0.885450280583614,28.334408978675647,0.04556579469912804,0.021553638953638952,28.401528412328414,0.34035352337060376,0.3395491886390813,0.022348890615557282,0.05152267978934646,1.0,0.0191662954329621,0.0,947.5584318671971,228.02654825715172,72108.79535310547,72279.60892148186
llama3_8b_int8,H100 INT8,int8,1,2048,customsa,FlashAttention-CustomSA,32,0.060767521367521365,0.05721086074419408,0.05721086074419408,0.05721086074419408,0.05721086074419408,0.28961096434429767,0.04556579469912804,0.00014144867478200812,0.04556579469912804,0.14773801260467928,0.14773801260467928,0.04896056289389623,0.0004950703617370285,0.14773801260467928,0.00014144867478200812,0.5383769144435812,0.5840841578174912,0.8736951221617889,27.958243909177245,0.04556579469912804,0.021553638953638952,28.025363342830012,0.33147828916305677,0.33068441417329664,0.0,0.0,1.0,0.0,0.03976752136752137,1130.8586427342543,237.2820272588311,73076.66184188683,73252.09718653852
llama3_8b_int8,H100 INT8,int8,1,2048,illm,FlashAttention + I-LLM,32,0.10709804023137356,0.05721086074419408,0.05721086074419408,0.05721086074419408,0.05721086074419408,0.33594148320814987,0.04556579469912804,0.00014144867478200812,0.04556579469912804,0.14773801260467928,0.14773801260467928,0.04896056289389623,0.0004950703617370285,0.14773801260467928,0.00014144867478200812,0.5383769144435812,0.5840841578174912,0.9200256410256411,29.440820512820515,0.04556579469912804,0.021553638953638952,29.507939946473282,0.36514360929511,0.3643130453078486,0.022348890615557282,0.08609804023137357,1.671,0.0191662954329621,0.0,641.6501794761053,204.55787740099163,69405.04839426352,69563.2786154232
llama3_8b_int8,H100 INT8,int8,1,2048,intattention,FlashAttention + IntAttention,32,0.07732309418976085,0.05721086074419408,0.05721086074419408,0.05721086074419408,0.05721086074419408,0.3061665371665372,0.04556579469912804,0.00014144867478200812,0.04556579469912804,0.14773801260467928,0.14773801260467928,0.04896056289389623,0.0004950703617370285,0.14773801260467928,0.00014144867478200812,0.5383769144435812,0.5840841578174912,0.8902506949840284,28.48802223948891,0.04556579469912804,0.021553638953638952,28.555141673141677,0.3439104725124983,0.3431021040439921,0.022348890615557282,0.05632309418976086,1.093,0.0191662954329621,0.0,888.7315937894768,224.45129821166745,71720.88387592566,71889.86244054344
llama3_8b_int8,H100 INT8,int8,1,4096,baseline,FlashAttention,32,0.22709071915738582,0.09342172148838816,0.09342172148838816,0.09342172148838816,0.09342172148838816,0.6007776051109385,0.04613158939825607,0.00028289734956401624,0.04613158939825607,0.2744760252093586,0.2744760252093586,0.052921125787792456,0.000990140723474057,0.2744760252093586,0.00028289734956401624,0.9237538288871622,0.9701683156349823,1.5709459207459209,50.27026946386947,0.04613158939825607,0.021553638953638952,50.337954692221366,0.3824304816461636,0.3819162594327818,0.08939556246222913,0.20609071915738583,1.0,0.0766651817318484,0.0,1210.4321478390982,457.5368732215668,81370.01244973006,81479.57119951188
llama3_8b_int8,H100 INT8,int8,1,4096,customsa,FlashAttention-CustomSA,32,0.18007008547008546,0.09342172148838816,0.09342172148838816,0.09342172148838816,0.09342172148838816,0.5537569714236381,0.04613158939825607,0.00028289734956401624,0.04613158939825607,0.2744760252093586,0.2744760252093586,0.052921125787792456,0.000990140723474057,0.2744760252093586,0.00028289734956401624,0.9237538288871622,0.9701683156349823,1.5239252870586204,48.76560918587585,0.04613158939825607,0.021553638953638952,48.83329441422775,0.363375407000735,0.36287175170376323,0.0,0.0,1.0,0.0,0.15907008547008547,1526.5051173070315,496.38726215459496,83877.19995410787,83993.61903565307
llama3_8b_int8,H100 INT8,int8,1,4096,illm,FlashAttention + I-LLM,32,0.3682918587585255,0.09342172148838816,0.09342172148838816,0.09342172148838816,0.09342172148838816,0.7419787447120781,0.04613158939825607,0.00028289734956401624,0.04613158939825607,0.2744760252093586,0.2744760252093586,0.052921125787792456,0.000990140723474057,0.2744760252093586,0.00028289734956401624,0.9237538288871622,0.9701683156349823,1.7121470603470605,54.78870593110594,0.04613158939825607,0.021553638953638952,54.856391159457836,0.43336157383681484,0.43282686536503767,0.08939556246222913,0.3472918587585255,1.685,0.0766651817318484,0.0,746.3589009830017,370.466012541458,74667.6898247581,74759.93328169707
llama3_8b_int8,H100 INT8,int8,1,4096,intattention,FlashAttention + IntAttention,32,0.2514198912198912,0.09342172148838816,0.09342172148838816,0.09342172148838816,0.09342172148838816,0.6251067771734439,0.04613158939825607,0.00028289734956401624,0.04613158939825607,0.2744760252093586,0.2744760252093586,0.052921125787792456,0.000990140723474057,0.2744760252093586,0.00028289734956401624,0.9237538288871622,0.9701683156349823,1.5952750928084263,51.04880296986964,0.04613158939825607,0.021553638953638952,51.11648819822154,0.39184889176258947,0.3913300301847843,0.08939556246222913,0.23041989121989123,1.118,0.0766651817318484,0.0,1093.3021472974565,439.729526188982,80130.70037433653,80236.94507425703
llama3_8b_int8,H100 INT8,int8,1,8192,baseline,FlashAttention,32,0.8453628766295432,0.1658434429767763,0.1658434429767763,0.1658434429767763,0.1658434429767763,1.5087366485366485,0.04726317879651213,0.0005657946991280325,0.04726317879651213,0.5279520504187171,0.5279520504187171,0.06084225157558491,0.001980281446948114,0.5279520504187171,0.0005657946991280325,1.6945076577743243,1.7423366312699644,3.251073279806613,104.03434495381161,0.04726317879651213,0.021553638953638952,104.10316177156176,0.46407340551437654,0.46376663236333576,0.3575822498489165,0.8243628766295433,1.0,0.3066607269273936,0.0,1300.638646636278,728.763120351346,78691.17383750624,78743.22661076035
llama3_8b_int8,H100 INT8,int8,1,8192,customsa,FlashAttention-CustomSA,32,0.6572803418803419,0.1658434429767763,0.1658434429767763,0.1658434429767763,0.1658434429767763,1.3206541137874472,0.04726317879651213,0.0005657946991280325,0.04726317879651213,0.5279520504187171,0.5279520504187171,0.06084225157558491,0.001980281446948114,0.5279520504187171,0.0005657946991280325,1.6945076577743243,1.7423366312699644,3.0629907450574114,98.01570384183717,0.04726317879651213,0.021553638953638952,98.08452065958731,0.43116490505840344,0.4308623966045503,0.0,0.0,1.0,0.0,0.6362803418803419,1672.8198878282694,832.550791533718,83519.8046023103,83578.44385037528
