case_name,case_label,data_type,prefill_length,variant,variant_label,baseline_total_ms,variant_total_ms,speedup_vs_baseline_x,customsa_vs_flash_x,tensor_vector_ratio,source
b300_int8,B300 INT8,int8,2048,flashattention,FlashAttention,0.12867944485025565,0.056933498904309716,2.260171029827836,1.3434220169507536,64.0,fixed_tile_model
b300_int8,B300 INT8,int8,2048,customsa,FlashAttention-CustomSA,0.12867944485025565,0.04237945945945946,3.036363523544973,1.3434220169507536,64.0,fixed_tile_model
b300_int8,B300 INT8,int8,4096,flashattention,FlashAttention,0.3527177794010226,0.16473399561723884,2.1411353380911495,1.719057162553964,64.0,fixed_tile_model
b300_int8,B300 INT8,int8,4096,customsa,FlashAttention-CustomSA,0.3527177794010226,0.09582810810810811,3.6807340389429934,1.719057162553964,64.0,fixed_tile_model
b300_int8,B300 INT8,int8,8192,flashattention,FlashAttention,1.2488711176040905,0.5959359824689554,2.095646435763172,1.8604834596754645,64.0,fixed_tile_model
b300_int8,B300 INT8,int8,8192,customsa,FlashAttention-CustomSA,1.2488711176040905,0.32031243243243246,3.898915531065222,1.8604834596754645,64.0,fixed_tile_model
b300_int8,B300 INT8,int8,16384,flashattention,FlashAttention,4.833484470416361,2.320743929875822,2.082730631412226,1.9049821011580947,64.0,fixed_tile_model
b300_int8,B300 INT8,int8,16384,customsa,FlashAttention-CustomSA,4.833484470416361,1.21824972972973,3.967564574373988,1.9049821011580947,64.0,fixed_tile_model
b300_int8,B300 INT8,int8,32768,flashattention,FlashAttention,19.17193788166545,9.219975719503287,2.0793913633753376,1.916835299741718,64.0,fixed_tile_model
b300_int8,B300 INT8,int8,32768,customsa,FlashAttention-CustomSA,19.17193788166545,4.80999891891892,3.9858507672959047,1.916835299741718,64.0,fixed_tile_model
b300_int8,B300 INT8,int8,65536,flashattention,FlashAttention,76.5257515266618,36.816902878013146,2.0785494037947054,1.9371240851823928,64.0,fixed_tile_model
b300_int8,B300 INT8,int8,65536,customsa,FlashAttention-CustomSA,76.5257515266618,19.005959999999998,4.026408112332226,1.9371240851823928,64.0,fixed_tile_model
b300_int8,B300 INT8,int8,131072,flashattention,FlashAttention,305.9410061066472,147.2046115120526,2.0783384634767224,1.937901312203138,64.0,fixed_tile_model
b300_int8,B300 INT8,int8,131072,customsa,FlashAttention-CustomSA,305.9410061066472,75.96083999999999,4.027614835573793,1.937901312203138,64.0,fixed_tile_model
b300_int8,B300 INT8,int8,262144,flashattention,FlashAttention,1223.6020244265885,588.7554460482104,2.07828570018254,1.9424704514564073,64.0,fixed_tile_model
b300_int8,B300 INT8,int8,262144,customsa,FlashAttention-CustomSA,1223.6020244265885,303.0962172972973,4.037008562288974,1.9424704514564073,64.0,fixed_tile_model
b300_int8,B300 INT8,int8,524288,flashattention,FlashAttention,4894.246097706354,2354.958784192841,2.0782725075945865,1.9425194282504006,64.0,fixed_tile_model
b300_int8,B300 INT8,int8,524288,customsa,FlashAttention-CustomSA,4894.246097706354,1212.3218691891893,4.037084723201162,1.9425194282504006,64.0,fixed_tile_model
