case_name,case_label,data_type,prefill_length,variant,variant_label,baseline_total_ms,variant_total_ms,speedup_vs_baseline_x,customsa_vs_flash_x,tensor_vector_ratio,source
awsv4_int8,AWSv4 INT8,int8,2048,flashattention,FlashAttention,0.856123046875,0.44256249999999997,1.9344681189097586,1.2541400258585573,68.26666666666668,source_csv
awsv4_int8,AWSv4 INT8,int8,2048,customsa,FlashAttention-CustomSA,0.856123046875,0.35288125,2.426093896672039,1.2541400258585573,68.26666666666668,source_csv
awsv4_int8,AWSv4 INT8,int8,4096,flashattention,FlashAttention,1.860616796875,0.8650249999999999,2.1509399114187455,1.69656406673286,68.26666666666668,source_csv
awsv4_int8,AWSv4 INT8,int8,4096,customsa,FlashAttention-CustomSA,1.860616796875,0.50986875,3.6492073634146043,1.69656406673286,68.26666666666668,source_csv
awsv4_int8,AWSv4 INT8,int8,8192,flashattention,FlashAttention,5.860991796875,2.5496,2.298788749950973,1.227736757624398,68.26666666666668,source_csv
awsv4_int8,AWSv4 INT8,int8,8192,customsa,FlashAttention-CustomSA,5.860991796875,2.0766666666666667,2.8223074463282503,1.227736757624398,68.26666666666668,source_csv
awsv4_int8,AWSv4 INT8,int8,16384,flashattention,FlashAttention,21.841450390624995,9.2776,2.3542134162525863,1.2619151251360172,68.26666666666668,source_csv
awsv4_int8,AWSv4 INT8,int8,16384,customsa,FlashAttention-CustomSA,21.841450390624995,7.352,2.9708175177672733,1.2619151251360172,68.26666666666668,source_csv
awsv4_int8,AWSv4 INT8,int8,32768,flashattention,FlashAttention,85.716400390625,36.21040000000001,2.3671762916351375,1.2750739471336683,68.26666666666668,source_csv
awsv4_int8,AWSv4 INT8,int8,32768,customsa,FlashAttention-CustomSA,85.716400390625,28.39866666666667,3.0183248177364543,1.2750739471336683,68.26666666666668,source_csv
awsv4_int8,AWSv4 INT8,int8,65536,flashattention,FlashAttention,280.85066666666665,143.9416,1.95114314879553,1.279753903054874,273.06666666666666,fixed_tile_model
awsv4_int8,AWSv4 INT8,int8,65536,customsa,FlashAttention-CustomSA,280.85066666666665,112.476,2.496983060089856,1.279753903054874,273.06666666666666,fixed_tile_model
awsv4_int8,AWSv4 INT8,int8,131072,flashattention,FlashAttention,1120.968,574.8664,1.9499626347965373,1.281562904064799,273.06666666666666,fixed_tile_model
awsv4_int8,AWSv4 INT8,int8,131072,customsa,FlashAttention-CustomSA,1120.968,448.5666666666667,2.498999777067697,1.281562904064799,273.06666666666666,fixed_tile_model
awsv4_int8,AWSv4 INT8,int8,262144,flashattention,FlashAttention,4480.562666666668,2298.5656000000004,1.9492864013394557,1.282329628249387,273.06666666666666,fixed_tile_model
awsv4_int8,AWSv4 INT8,int8,262144,customsa,FlashAttention-CustomSA,4480.562666666668,1792.492,2.49962770638121,1.282329628249387,273.06666666666666,fixed_tile_model
awsv4_int8,AWSv4 INT8,int8,524288,flashattention,FlashAttention,17917.192,9193.3624,1.948926978011875,1.2826780596146692,273.06666666666666,fixed_tile_model
awsv4_int8,AWSv4 INT8,int8,524288,customsa,FlashAttention-CustomSA,17917.192,7167.318666666668,2.499845874486953,1.2826780596146692,273.06666666666666,fixed_tile_model
