case_name,case_label,system_config_path,data_type,prefill_length,batch_size,hidden_size,num_heads,head_dim,compile_mode,variant,variant_label,attention_variant,total_latency_ms,q_mul_k_ms,softmax_ms,a_mul_v_ms,compute_model_ms,fused_core_ms,hbm_io_ms,onchip_io_ms,kernel_overhead_ms,software_q_tile_size,software_kv_tile_size,logical_q_tile_size,tensor_tflops,vector_tflops,tensor_vector_ratio,source,bottleneck_component,bottleneck_ms,bottleneck_share_of_total
awsv4_int8,AWSv4 INT8,/home/CONNECT/cxu930/Documents/pinn-fullstack/LLMCompass/configs/ours/AWSv4.json,int8,65536,1,4096,32,128,fixed-tile,baseline,Unfused Attention,trivial,280.85066666666665,56.30733333333333,168.236,56.30733333333333,0.0,0.0,0.0,0.0,0.0,,,,2684.35456,9.8304,273.06666666666666,fixed_tile_model,softmax,168.236,0.5990229683153088
awsv4_int8,AWSv4 INT8,/home/CONNECT/cxu930/Documents/pinn-fullstack/LLMCompass/configs/ours/AWSv4.json,int8,65536,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,112.476,0.0,0.0,0.0,0.0,54.150400000000005,0.0,112.176,0.3,128,16384,128,2684.35456,9.8304,273.06666666666666,fixed_tile_model,onchip_io,112.176,0.9973327643230556
awsv4_int8,AWSv4 INT8,/home/CONNECT/cxu930/Documents/pinn-fullstack/LLMCompass/configs/ours/AWSv4.json,int8,65536,1,4096,32,128,fixed-tile,flashattention,FlashAttention,flashattention,143.9416,39.1168,143.6416,14.2592,143.6416,0.0,0.0,112.176,0.3,128,16384,,2684.35456,9.8304,273.06666666666666,fixed_tile_model,softmax,143.6416,0.9979158214164635
awsv4_int8,AWSv4 INT8,/home/CONNECT/cxu930/Documents/pinn-fullstack/LLMCompass/configs/ours/AWSv4.json,int8,131072,1,4096,32,128,fixed-tile,baseline,Unfused Attention,trivial,1120.968,224.462,672.044,224.462,0.0,0.0,0.0,0.0,0.0,,,,2684.35456,9.8304,273.06666666666666,fixed_tile_model,softmax,672.044,0.5995211281677978
awsv4_int8,AWSv4 INT8,/home/CONNECT/cxu930/Documents/pinn-fullstack/LLMCompass/configs/ours/AWSv4.json,int8,131072,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,448.5666666666667,0.0,0.0,0.0,0.0,216.60160000000002,0.0,448.2666666666667,0.3,128,16384,128,2684.35456,9.8304,273.06666666666666,fixed_tile_model,onchip_io,448.2666666666667,0.999331203091328
awsv4_int8,AWSv4 INT8,/home/CONNECT/cxu930/Documents/pinn-fullstack/LLMCompass/configs/ours/AWSv4.json,int8,131072,1,4096,32,128,fixed-tile,flashattention,FlashAttention,flashattention,574.8664,156.4672,574.5664,57.0368,574.5664,0.0,0.0,448.2666666666667,0.3,128,16384,,2684.35456,9.8304,273.06666666666666,fixed_tile_model,softmax,574.5664,0.9994781396164396
awsv4_int8,AWSv4 INT8,/home/CONNECT/cxu930/Documents/pinn-fullstack/LLMCompass/configs/ours/AWSv4.json,int8,262144,1,4096,32,128,fixed-tile,baseline,Unfused Attention,trivial,4480.562666666668,896.6433333333334,2687.2760000000003,896.6433333333334,0.0,0.0,0.0,0.0,0.0,,,,2684.35456,9.8304,273.06666666666666,fixed_tile_model,softmax,2687.2760000000003,0.5997630654721341
awsv4_int8,AWSv4 INT8,/home/CONNECT/cxu930/Documents/pinn-fullstack/LLMCompass/configs/ours/AWSv4.json,int8,262144,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,1792.492,0.0,0.0,0.0,0.0,866.4064000000001,0.0,1792.192,0.3,128,16384,128,2684.35456,9.8304,273.06666666666666,fixed_tile_model,onchip_io,1792.192,0.9998326352363079
awsv4_int8,AWSv4 INT8,/home/CONNECT/cxu930/Documents/pinn-fullstack/LLMCompass/configs/ours/AWSv4.json,int8,262144,1,4096,32,128,fixed-tile,flashattention,FlashAttention,flashattention,2298.5656000000004,625.8688,2298.2656,228.1472,2298.2656,0.0,0.0,1792.192,0.3,128,16384,,2684.35456,9.8304,273.06666666666666,fixed_tile_model,softmax,2298.2656,0.9998694838206923
awsv4_int8,AWSv4 INT8,/home/CONNECT/cxu930/Documents/pinn-fullstack/LLMCompass/configs/ours/AWSv4.json,int8,524288,1,4096,32,128,fixed-tile,baseline,Unfused Attention,trivial,17917.192,3584.4939999999997,10748.204,3584.4939999999997,0.0,0.0,0.0,0.0,0.0,,,,2684.35456,9.8304,273.06666666666666,fixed_tile_model,softmax,10748.204,0.5998821690363089
awsv4_int8,AWSv4 INT8,/home/CONNECT/cxu930/Documents/pinn-fullstack/LLMCompass/configs/ours/AWSv4.json,int8,524288,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,7167.318666666668,0.0,0.0,0.0,0.0,3465.6256000000003,0.0,7167.018666666668,0.3,128,16384,128,2684.35456,9.8304,273.06666666666666,fixed_tile_model,onchip_io,7167.018666666668,0.999958143342866
awsv4_int8,AWSv4 INT8,/home/CONNECT/cxu930/Documents/pinn-fullstack/LLMCompass/configs/ours/AWSv4.json,int8,524288,1,4096,32,128,fixed-tile,flashattention,FlashAttention,flashattention,9193.3624,2503.4752,9193.0624,912.5888,9193.0624,0.0,0.0,7167.018666666668,0.3,128,16384,,2684.35456,9.8304,273.06666666666666,fixed_tile_model,softmax,9193.0624,0.9999673677608968
