context_length,baseline_model_ms,flashattention_model_ms,customsa_model_ms,flashattention_vs_baseline_x,customsa_vs_baseline_x,customsa_vs_flashattention_x,flashattention_layer_ms,customsa_layer_ms,customsa_vs_flashattention_layer_x,flashattention_attention_core_ms,customsa_attention_core_ms,customsa_vs_flashattention_attention_core_x,flashattention_attention_total_ms,customsa_attention_total_ms,customsa_vs_flashattention_attention_total_x,flashattention_attention_share_of_model,customsa_attention_share_of_model
2048,20.475339605551497,18.179469335281226,17.71374007304602,1.1262891797295003,1.1559015499334127,1.0262919778835347,0.5660236376917458,0.5514695982468956,1.0263913722372313,0.056933498904309716,0.04237945945945946,1.3434220169507536,0.2022089408327246,0.18765490138787433,1.0775574703203072,0.3559337177180089,0.33899994126872035
4096,34.911929466764065,28.89644838568298,26.691459985390797,1.2081737174337837,1.3079812601436052,1.0826102581686823,0.900914273192111,0.8320083856829803,1.0828187416074746,0.16473399561723884,0.09582810810810811,1.719057162553964,0.37128487947406863,0.3023789919649379,1.2278792156206428,0.41116181423377995,0.36251773968805406
8192,78.12356260043829,57.22963827611395,48.40968467494522,1.3650892256826457,1.6138002782916638,1.1821939899090803,1.7862965376186999,1.510672987582177,1.1824508363505306,0.5959359824689554,0.32031243243243246,1.8604834596754645,0.925037750182615,0.6494142001460921,1.4244187299484963,0.5172356299550193,0.42927886319058045
16384,221.900642512783,141.49294521548575,106.21313081081082,1.5682806105621796,2.089201597004398,1.332160573135878,4.419465040175311,3.3169708400292186,1.3323798288610764,2.320743929875822,1.21824972972973,1.9049821011580947,2.894947465303141,1.792453265157049,1.615075562402178,0.6547204084883356,0.540032141479699
32768,738.870056917458,420.40726772826883,279.2880101095691,1.7575101898453105,2.6455487889637213,1.505282190822787,13.135417940102265,8.725441139517898,1.5054159130833389,9.219975719503287,4.80999891891892,1.916835299741718,10.284382790357926,5.8744059897735585,1.7507102519406152,0.7828129401039953,0.6730721866613821
65536,2690.4699040467494,1419.7867472899927,849.836575193572,1.8949817000209106,3.1658673944857294,1.6706585580487636,44.3657873192111,26.554844441197957,1.6707229227967433,36.816902878013146,19.005959999999998,1.9371240851823928,38.86171701972242,21.050774141709276,1.8460944361529754,0.8758885424200372,0.7926521312421292
131072,10264.313671585098,5184.7490445580725,2904.9483561723882,1.9797127273418471,3.5333893801504757,1.7847990424826659,162.02038039444852,90.7766088823959,1.7848252142173682,147.2046115120526,75.96083999999999,1.937901312203138,151.21023979547115,79.96646828341855,1.8909205701013228,0.9332616934533832,0.8808855343786839
262144,40094.577499780855,19779.486991672755,10638.391671643536,2.027078736504179,3.7688570544598687,1.8592553839124633,618.1049838130021,332.4457550620891,1.859265682900845,588.7554460482104,303.0962172972973,1.9424704514564073,596.6827026150474,311.0234738641344,1.9184490971112318,0.9653357790179344,0.9355503605099633
524288,158485.4103286486,77228.2162962162,40663.83501609935,2.0521697629369386,3.897453603820253,1.8991867408875853,2413.3758597224246,1270.738944718773,1.8991909154531568,2354.958784192841,1212.3218691891893,1.9425194282504006,2370.7292973265153,1228.0923823228636,1.9304160920226718,0.9823266825620757,0.9664350698543966
