model,system,data_type,batch_size,context_length,variant,variant_label,num_layers,attention_core_ms,q_proj_ms,k_proj_ms,v_proj_ms,o_proj_ms,attention_total_ms,attn_norm_ms,residual_add1_ms,ffn_norm_ms,gate_proj_ms,up_proj_ms,silu_ms,gate_mul_ms,down_proj_ms,residual_add2_ms,ffn_total_ms,non_attention_per_layer_ms,layer_total_ms,decoder_stack_ms,final_norm_ms,lm_head_ms,model_total_ms,attention_share_of_layer,attention_share_of_model
llama3_8b_int8,B300 INT8,int8,1,2048,baseline,Unfused Attention,32,0.12867944485025565,0.03631886048210372,0.03631886048210372,0.03631886048210372,0.03631886048210372,0.2739548867786705,0.04547871439006575,0.00011967859751643534,0.04547871439006575,0.07461601168736304,0.07461601168736304,0.04835100073046019,0.00041887509130752375,0.07461601168736304,0.00011967859751643534,0.318216303871439,0.3638146968590212,0.6377695836376918,20.408626676406136,0.04547871439006575,0.021234214755295834,20.475339605551497,0.4295515085810373,0.42815194012902097
llama3_8b_int8,B300 INT8,int8,1,2048,flashattention,FlashAttention,32,0.056933498904309716,0.03631886048210372,0.03631886048210372,0.03631886048210372,0.03631886048210372,0.2022089408327246,0.04547871439006575,0.00011967859751643534,0.04547871439006575,0.07461601168736304,0.07461601168736304,0.04835100073046019,0.00041887509130752375,0.07461601168736304,0.00011967859751643534,0.318216303871439,0.3638146968590212,0.5660236376917458,18.112756406135865,0.04547871439006575,0.021234214755295834,18.179469335281226,0.3572446932734756,0.3559337177180089
llama3_8b_int8,B300 INT8,int8,1,2048,customsa,FlashAttention-CustomSA,32,0.04237945945945946,0.03631886048210372,0.03631886048210372,0.03631886048210372,0.03631886048210372,0.18765490138787433,0.04547871439006575,0.00011967859751643534,0.04547871439006575,0.07461601168736304,0.07461601168736304,0.04835100073046019,0.00041887509130752375,0.07461601168736304,0.00011967859751643534,0.318216303871439,0.3638146968590212,0.5514695982468956,17.647027143900658,0.04547871439006575,0.021234214755295834,17.71374007304602,0.3402814987162,0.33899994126872035
llama3_8b_int8,B300 INT8,int8,1,4096,baseline,Unfused Attention,32,0.3527177794010226,0.05163772096420745,0.05163772096420745,0.05163772096420745,0.05163772096420745,0.5592686632578524,0.04595742878013148,0.00023935719503287068,0.04595742878013148,0.12823202337472608,0.12823202337472608,0.05170200146092038,0.0008377501826150475,0.12823202337472608,0.00023935719503287068,0.4834326077428781,0.5296293937180424,1.0888980569758948,34.844737823228634,0.04595742878013148,0.021234214755295834,34.911929466764065,0.5136097540765775,0.5126212586241824
llama3_8b_int8,B300 INT8,int8,1,4096,flashattention,FlashAttention,32,0.16473399561723884,0.05163772096420745,0.05163772096420745,0.05163772096420745,0.05163772096420745,0.37128487947406863,0.04595742878013148,0.00023935719503287068,0.04595742878013148,0.12823202337472608,0.12823202337472608,0.05170200146092038,0.0008377501826150475,0.12823202337472608,0.00023935719503287068,0.4834326077428781,0.5296293937180424,0.900914273192111,28.829256742147553,0.04595742878013148,0.021234214755295834,28.89644838568298,0.41212009901734104,0.41116181423377995
llama3_8b_int8,B300 INT8,int8,1,4096,customsa,FlashAttention-CustomSA,32,0.09582810810810811,0.05163772096420745,0.05163772096420745,0.05163772096420745,0.05163772096420745,0.3023789919649379,0.04595742878013148,0.00023935719503287068,0.04595742878013148,0.12823202337472608,0.12823202337472608,0.05170200146092038,0.0008377501826150475,0.12823202337472608,0.00023935719503287068,0.4834326077428781,0.5296293937180424,0.8320083856829803,26.62426834185537,0.04595742878013148,0.021234214755295834,26.691459985390797,0.3634326254016305,0.36251773968805406
llama3_8b_int8,B300 INT8,int8,1,8192,baseline,Unfused Attention,32,1.2488711176040905,0.08227544192841489,0.08227544192841489,0.08227544192841489,0.08227544192841489,1.5779728853177502,0.046914857560262965,0.00047871439006574136,0.046914857560262965,0.23546404674945215,0.23546404674945215,0.05840400292184077,0.001675500365230095,0.23546404674945215,0.00047871439006574136,0.8138652154857562,0.8612587874360849,2.4392316727538352,78.05541352812273,0.046914857560262965,0.021234214755295834,78.12356260043829,0.646913904465768,0.6463495858275761
llama3_8b_int8,B300 INT8,int8,1,8192,flashattention,FlashAttention,32,0.5959359824689554,0.08227544192841489,0.08227544192841489,0.08227544192841489,0.08227544192841489,0.925037750182615,0.046914857560262965,0.00047871439006574136,0.046914857560262965,0.23546404674945215,0.23546404674945215,0.05840400292184077,0.001675500365230095,0.23546404674945215,0.00047871439006574136,0.8138652154857562,0.8612587874360849,1.7862965376186999,57.161489203798396,0.046914857560262965,0.021234214755295834,57.22963827611395,0.5178522886327579,0.5172356299550193
llama3_8b_int8,B300 INT8,int8,1,8192,customsa,FlashAttention-CustomSA,32,0.32031243243243246,0.08227544192841489,0.08227544192841489,0.08227544192841489,0.08227544192841489,0.6494142001460921,0.046914857560262965,0.00047871439006574136,0.046914857560262965,0.23546404674945215,0.23546404674945215,0.05840400292184077,0.001675500365230095,0.23546404674945215,0.00047871439006574136,0.8138652154857562,0.8612587874360849,1.510672987582177,48.34153560262966,0.046914857560262965,0.021234214755295834,48.40968467494522,0.4298840354493103,0.42927886319058045
llama3_8b_int8,B300 INT8,int8,1,16384,baseline,Unfused Attention,32,4.833484470416361,0.1435508838568298,0.1435508838568298,0.1435508838568298,0.1435508838568298,5.4076880058436805,0.04882971512052594,0.0009574287801314827,0.04882971512052594,0.44992809349890434,0.44992809349890434,0.07180800584368152,0.00335100073046019,0.44992809349890434,0.0009574287801314827,1.4747304309715121,1.5245175748721695,6.93220558071585,221.8305785829072,0.04882971512052594,0.021234214755295834,221.900642512783,0.78008188633166,0.7798355796875582
llama3_8b_int8,B300 INT8,int8,1,16384,flashattention,FlashAttention,32,2.320743929875822,0.1435508838568298,0.1435508838568298,0.1435508838568298,0.1435508838568298,2.894947465303141,0.04882971512052594,0.0009574287801314827,0.04882971512052594,0.44992809349890434,0.44992809349890434,0.07180800584368152,0.00335100073046019,0.44992809349890434,0.0009574287801314827,1.4747304309715121,1.5245175748721695,4.419465040175311,141.42288128560995,0.04882971512052594,0.021234214755295834,141.49294521548575,0.655044771026926,0.6547204084883356
llama3_8b_int8,B300 INT8,int8,1,16384,customsa,FlashAttention-CustomSA,32,1.21824972972973,0.1435508838568298,0.1435508838568298,0.1435508838568298,0.1435508838568298,1.792453265157049,0.04882971512052594,0.0009574287801314827,0.04882971512052594,0.44992809349890434,0.44992809349890434,0.07180800584368152,0.00335100073046019,0.44992809349890434,0.0009574287801314827,1.4747304309715121,1.5245175748721695,3.3169708400292186,106.143066880935,0.04882971512052594,0.021234214755295834,106.21313081081082,0.5403886110561225,0.540032141479699
llama3_8b_int8,B300 INT8,int8,1,32768,baseline,Unfused Attention,32,19.17193788166545,0.2661017677136596,0.2661017677136596,0.2661017677136596,0.2661017677136596,20.23634495252009,0.052659430241051866,0.0019148575602629654,0.052659430241051866,0.8788561869978087,0.8788561869978087,0.09861601168736303,0.00670200146092038,0.8788561869978087,0.0019148575602629654,2.7964608619430242,2.851035149744339,23.087380102264426,738.7961632724616,0.052659430241051866,0.021234214755295834,738.870056917458,0.8765111009947506,0.876423442008538
llama3_8b_int8,B300 INT8,int8,1,32768,flashattention,FlashAttention,32,9.219975719503287,0.2661017677136596,0.2661017677136596,0.2661017677136596,0.2661017677136596,10.284382790357926,0.052659430241051866,0.0019148575602629654,0.052659430241051866,0.8788561869978087,0.8788561869978087,0.09861601168736303,0.00670200146092038,0.8788561869978087,0.0019148575602629654,2.7964608619430242,2.851035149744339,13.135417940102265,420.3333740832725,0.052659430241051866,0.021234214755295834,420.40726772826883,0.7829505568269614,0.7828129401039953
llama3_8b_int8,B300 INT8,int8,1,32768,customsa,FlashAttention-CustomSA,32,4.80999891891892,0.2661017677136596,0.2661017677136596,0.2661017677136596,0.2661017677136596,5.8744059897735585,0.052659430241051866,0.0019148575602629654,0.052659430241051866,0.8788561869978087,0.8788561869978087,0.09861601168736303,0.00670200146092038,0.8788561869978087,0.0019148575602629654,2.7964608619430242,2.851035149744339,8.725441139517898,279.2141164645727,0.052659430241051866,0.021234214755295834,279.2880101095691,0.6732503143214297,0.6730721866613821
llama3_8b_int8,B300 INT8,int8,1,65536,baseline,Unfused Attention,32,76.5257515266618,0.5112035354273191,0.5112035354273191,0.5112035354273191,0.5112035354273191,78.57056566837107,0.06031886048210373,0.003829715120525931,0.06031886048210373,1.7367123739956174,1.7367123739956174,0.1522320233747261,0.01340400292184076,1.7367123739956174,0.003829715120525931,5.43992172388605,5.50407029948868,84.07463596785975,2690.388350971512,0.06031886048210373,0.021234214755295834,2690.4699040467494,0.9345335220768273,0.9345051946524903
llama3_8b_int8,B300 INT8,int8,1,65536,flashattention,FlashAttention,32,36.816902878013146,0.5112035354273191,0.5112035354273191,0.5112035354273191,0.5112035354273191,38.86171701972242,0.06031886048210373,0.003829715120525931,0.06031886048210373,1.7367123739956174,1.7367123739956174,0.1522320233747261,0.01340400292184076,1.7367123739956174,0.003829715120525931,5.43992172388605,5.50407029948868,44.3657873192111,1419.7051942147552,0.06031886048210373,0.021234214755295834,1419.7867472899927,0.8759388566715387,0.8758885424200372
llama3_8b_int8,B300 INT8,int8,1,65536,customsa,FlashAttention-CustomSA,32,19.005959999999998,0.5112035354273191,0.5112035354273191,0.5112035354273191,0.5112035354273191,21.050774141709276,0.06031886048210373,0.003829715120525931,0.06031886048210373,1.7367123739956174,1.7367123739956174,0.1522320233747261,0.01340400292184076,1.7367123739956174,0.003829715120525931,5.43992172388605,5.50407029948868,26.554844441197957,849.7550221183346,0.06031886048210373,0.021234214755295834,849.836575193572,0.7927282040127673,0.7926521312421292
llama3_8b_int8,B300 INT8,int8,1,131072,baseline,Unfused Attention,32,305.9410061066472,1.0014070708546383,1.0014070708546383,1.0014070708546383,1.0014070708546383,309.94663439006575,0.07563772096420746,0.007659430241051862,0.07563772096420746,3.452424747991235,3.452424747991235,0.25946404674945217,0.02680800584368152,3.452424747991235,0.007659430241051862,10.726843447772097,10.810140598977357,320.7567749890431,10264.216799649379,0.07563772096420746,0.021234214755295834,10264.313671585098,0.966298013192873,0.9662888935223315
llama3_8b_int8,B300 INT8,int8,1,131072,flashattention,FlashAttention,32,147.2046115120526,1.0014070708546383,1.0014070708546383,1.0014070708546383,1.0014070708546383,151.21023979547115,0.07563772096420746,0.007659430241051862,0.07563772096420746,3.452424747991235,3.452424747991235,0.25946404674945217,0.02680800584368152,3.452424747991235,0.007659430241051862,10.726843447772097,10.810140598977357,162.02038039444852,5184.652172622353,0.07563772096420746,0.021234214755295834,5184.7490445580725,0.9332791308558872,0.9332616934533832
llama3_8b_int8,B300 INT8,int8,1,131072,customsa,FlashAttention-CustomSA,32,75.96083999999999,1.0014070708546383,1.0014070708546383,1.0014070708546383,1.0014070708546383,79.96646828341855,0.07563772096420746,0.007659430241051862,0.07563772096420746,3.452424747991235,3.452424747991235,0.25946404674945217,0.02680800584368152,3.452424747991235,0.007659430241051862,10.726843447772097,10.810140598977357,90.7766088823959,2904.851484236669,0.07563772096420746,0.021234214755295834,2904.9483561723882,0.8809149104370901,0.8808855343786839
llama3_8b_int8,B300 INT8,int8,1,262144,baseline,Unfused Attention,32,1223.6020244265885,1.981814141709277,1.981814141709277,1.981814141709277,1.981814141709277,1231.5292809934256,0.10627544192841488,0.015318860482103723,0.10627544192841488,6.88384949598247,6.88384949598247,0.47392809349890436,0.05361601168736304,6.88384949598247,0.015318860482103723,21.300686895544196,21.422281197954714,1252.9515621913804,40094.44999012417,0.10627544192841488,0.021234214755295834,40094.577499780855,0.9829025463997285,0.9828994205514453
llama3_8b_int8,B300 INT8,int8,1,262144,flashattention,FlashAttention,32,588.7554460482104,1.981814141709277,1.981814141709277,1.981814141709277,1.981814141709277,596.6827026150474,0.10627544192841488,0.015318860482103723,0.10627544192841488,6.88384949598247,6.88384949598247,0.47392809349890436,0.05361601168736304,6.88384949598247,0.015318860482103723,21.300686895544196,21.422281197954714,618.1049838130021,19779.35948201607,0.10627544192841488,0.021234214755295834,19779.486991672755,0.9653420021534146,0.9653357790179344
llama3_8b_int8,B300 INT8,int8,1,262144,customsa,FlashAttention-CustomSA,32,303.0962172972973,1.981814141709277,1.981814141709277,1.981814141709277,1.981814141709277,311.0234738641344,0.10627544192841488,0.015318860482103723,0.10627544192841488,6.88384949598247,6.88384949598247,0.47392809349890436,0.05361601168736304,6.88384949598247,0.015318860482103723,21.300686895544196,21.422281197954714,332.4457550620891,10638.264161986852,0.10627544192841488,0.021234214755295834,10638.391671643536,0.9355615739657924,0.9355503605099633
llama3_8b_int8,B300 INT8,int8,1,524288,baseline,Unfused Attention,32,4894.246097706354,3.9426282834185535,3.9426282834185535,3.9426282834185535,3.9426282834185535,4910.016610840028,0.1675508838568298,0.030637720964207447,0.1675508838568298,13.746698991964939,13.746698991964939,0.9028561869978087,0.10723202337472608,13.746698991964939,0.030637720964207447,42.44837379108839,42.64656239590943,4952.663173235937,158485.22154355,0.1675508838568298,0.021234214755295834,158485.4103286486,0.991389165605614,0.9913879846798681
llama3_8b_int8,B300 INT8,int8,1,524288,flashattention,FlashAttention,32,2354.958784192841,3.9426282834185535,3.9426282834185535,3.9426282834185535,3.9426282834185535,2370.7292973265153,0.1675508838568298,0.030637720964207447,0.1675508838568298,13.746698991964939,13.746698991964939,0.9028561869978087,0.10723202337472608,13.746698991964939,0.030637720964207447,42.44837379108839,42.64656239590943,2413.3758597224246,77228.02751111759,0.1675508838568298,0.021234214755295834,77228.2162962162,0.9823290838747287,0.9823266825620757
