seq_len,n_rows,method,repetition,latency_ms
4096,16384,fp_stream_softmax_u8,14,0.10927999764680862
4096,16384,fp_stream_softmax_u8,15,0.10902400314807892
4096,16384,fp_stream_softmax_u8,16,0.10870400071144104
4096,16384,fp_stream_softmax_u8,17,0.10976000130176544
4096,16384,fp_stream_softmax_u8,18,0.10892800241708755
4096,16384,fp_stream_softmax_u8,19,0.10915199667215347
4096,16384,fp_stream_softmax_u8,20,0.10870400071144104
4096,16384,illm_di_softmax_u8,1,0.18572799861431122
4096,16384,illm_di_softmax_u8,2,0.1847359985113144
4096,16384,illm_di_softmax_u8,3,0.18400000035762787
4096,16384,illm_di_softmax_u8,4,0.18380799889564514
4096,16384,illm_di_softmax_u8,5,0.18880000710487366
4096,16384,illm_di_softmax_u8,6,0.1852799952030182
4096,16384,illm_di_softmax_u8,7,0.1836480051279068
4096,16384,illm_di_softmax_u8,8,0.1831360012292862
4096,16384,illm_di_softmax_u8,9,0.1836480051279068
4096,16384,illm_di_softmax_u8,10,0.1833599954843521
4096,16384,illm_di_softmax_u8,11,0.18355199694633484
4096,16384,illm_di_softmax_u8,12,0.1836480051279068
4096,16384,illm_di_softmax_u8,13,0.18329599499702454
4096,16384,illm_di_softmax_u8,14,0.18380799889564514
4096,16384,illm_di_softmax_u8,15,0.18294399976730347
4096,16384,illm_di_softmax_u8,16,0.18326400220394135
4096,16384,illm_di_softmax_u8,17,0.1823360025882721
4096,16384,illm_di_softmax_u8,18,0.1825920045375824
4096,16384,illm_di_softmax_u8,19,0.18316799402236938
4096,16384,illm_di_softmax_u8,20,0.1828799992799759
4096,16384,intattention_idx_softmax_u8,1,0.12438400089740753
4096,16384,intattention_idx_softmax_u8,2,0.12547199428081512
4096,16384,intattention_idx_softmax_u8,3,0.12278400361537933
4096,16384,intattention_idx_softmax_u8,4,0.12265600264072418
4096,16384,intattention_idx_softmax_u8,5,0.12220799922943115
4096,16384,intattention_idx_softmax_u8,6,0.12326399981975555
4096,16384,intattention_idx_softmax_u8,7,0.1231359988451004
4096,16384,intattention_idx_softmax_u8,8,0.12172800302505493
4096,16384,intattention_idx_softmax_u8,9,0.1228799968957901
4096,16384,intattention_idx_softmax_u8,10,0.12211199849843979
4096,16384,intattention_idx_softmax_u8,11,0.12214399874210358
4096,16384,intattention_idx_softmax_u8,12,0.12223999947309494
4096,16384,intattention_idx_softmax_u8,13,0.12176000326871872
4096,16384,intattention_idx_softmax_u8,14,0.12169600278139114
4096,16384,intattention_idx_softmax_u8,15,0.12163200229406357
4096,16384,intattention_idx_softmax_u8,16,0.12303999811410904
