func,narrowest_width,widest_width,gain_widest_over_narrowest,best_mse_w4,best_mse_w8,best_mse_w16,best_mse_w32
exp,4,32,97.2474672922751,1.3096430393488845e-06,1.059917522638898e-07,5.521856305534811e-09,1.3467117199184031e-08
rsqrt,4,32,369.52149525724184,6.322430272120982e-05,1.3445216609397903e-05,1.2212424280733103e-06,1.7109776706547564e-07
sigmoid,4,32,148.73931489145008,7.5460857260623015e-06,4.844058594244416e-07,6.777536043500731e-08,5.0733632406263496e-08
erf,4,32,376.22556620558333,1.888431688712444e-05,1.5036217746455804e-06,1.2995579368180188e-07,5.0194135070569246e-08
tanh,4,32,450.27087455761307,2.7984440748696215e-05,2.0516181393759325e-06,1.6064053909303766e-07,6.215023518052476e-08
sin,4,32,203.26636063416177,7.822115549060982e-06,5.68903089970263e-07,6.474567726399982e-08,3.848209573220629e-08
softsign,4,32,2837.822557026663,5.037037408328615e-05,3.4322870305913966e-06,2.1119784321399493e-07,1.7749655967236322e-08
arctan,4,32,1475.755446288252,8.366257679881528e-05,5.091217644803692e-06,3.0427594310822315e-07,5.6691355609927996e-08
exp2,4,32,108.2546530069798,1.828655172175786e-06,1.412178249893259e-07,1.694996321077724e-08,1.6892162335579997e-08
