case_name,case_label,system_config_path,data_type,prefill_length,batch_size,hidden_size,num_heads,head_dim,compile_mode,variant,variant_label,attention_variant,total_latency_ms,q_mul_k_ms,softmax_ms,a_mul_v_ms,compute_model_ms,fused_core_ms,hbm_io_ms,onchip_io_ms,kernel_overhead_ms,bottleneck_component,bottleneck_ms,bottleneck_share_of_total,software_q_tile_size,software_kv_tile_size,logical_q_tile_size,tensor_tflops,vector_tflops,tensor_vector_ratio,source
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,65536,1,4096,32,128,fixed-tile,baseline,Unfused Attention,trivial,92.212264660336,15.707513133674214,60.79723839298757,15.707513133674214,0.0,0.0,0.0,0.0,0.0,softmax,60.79723839298757,0.6593183522488497,,,,2242.9696,70.0928,32.0,fixed_tile_model
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,65536,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,34.05876,0.0,0.0,0.0,0.0,34.03776,0.0,0.0,0.020999999999999998,fused_core,34.03776,0.999383418539019,32,256,32,2242.9696,70.0928,32.0,fixed_tile_model
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,65536,1,4096,32,128,fixed-tile,flashattention,FlashAttention,flashattention,36.90881604090577,19.363039649379107,30.453894638422202,17.52477639152666,36.88781604090577,0.0,0.0,0.0,0.020999999999999998,matmul_pair,36.88781604090577,0.9994310302455455,32,256,,2242.9696,70.0928,32.0,fixed_tile_model
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,131072,1,4096,32,128,fixed-tile,baseline,Unfused Attention,trivial,368.687058641344,62.767052534696845,243.15295357195032,62.767052534696845,0.0,0.0,0.0,0.0,0.0,softmax,243.15295357195032,0.6595104109919077,,,,2242.9696,70.0928,32.0,fixed_tile_model
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,131072,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,136.17203999999998,0.0,0.0,0.0,0.0,136.15104,0.0,0.0,0.020999999999999998,fused_core,136.15104,0.9998457833193952,32,256,32,2242.9696,70.0928,32.0,fixed_tile_model
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,131072,1,4096,32,128,fixed-tile,flashattention,FlashAttention,flashattention,147.57226416362306,77.45215859751643,121.81557855368881,70.09910556610664,147.55126416362307,0.0,0.0,0.0,0.020999999999999998,matmul_pair,147.55126416362307,0.9998576968367395,32,256,,2242.9696,70.0928,32.0,fixed_tile_model
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,262144,1,4096,32,128,fixed-tile,baseline,Unfused Attention,trivial,1474.586234565376,251.0052101387874,972.5758142878012,251.0052101387874,0.0,0.0,0.0,0.0,0.0,softmax,972.5758142878012,0.6595584520524574,,,,2242.9696,70.0928,32.0,fixed_tile_model
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,262144,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,543.3985740540542,0.0,0.0,0.0,0.0,543.3775740540541,0.0,0.0,0.020999999999999998,fused_core,543.3775740540541,0.9999613543336278,32,256,32,2242.9696,70.0928,32.0,fixed_tile_model
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,262144,1,4096,32,128,fixed-tile,flashattention,FlashAttention,flashattention,590.2260566544924,309.8086343900657,487.26231421475524,280.3964222644266,590.2050566544923,0.0,0.0,0.0,0.020999999999999998,matmul_pair,590.2050566544923,0.9999644204118688,32,256,,2242.9696,70.0928,32.0,fixed_tile_model
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,524288,1,4096,32,128,fixed-tile,baseline,Unfused Attention,trivial,5898.182938261504,1003.9578405551497,3890.267257151205,1003.9578405551497,0.0,0.0,0.0,0.0,0.0,softmax,3890.267257151205,0.6595704639669697,,,,2242.9696,70.0928,32.0,fixed_tile_model
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,524288,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,2173.531296216216,0.0,0.0,0.0,0.0,2173.5102962162164,0.0,0.0,0.020999999999999998,fused_core,2173.5102962162164,0.99999033830337,32,256,32,2242.9696,70.0928,32.0,fixed_tile_model
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,524288,1,4096,32,128,fixed-tile,flashattention,FlashAttention,flashattention,2360.841226617969,1239.2345375602629,1949.049256859021,1121.5856890577063,2360.820226617969,0.0,0.0,0.0,0.020999999999999998,matmul_pair,2360.820226617969,0.9999911048656034,32,256,,2242.9696,70.0928,32.0,fixed_tile_model
