case_name,case_label,data_type,prefill_length,variant,variant_label,baseline_total_ms,variant_total_ms,speedup_vs_baseline_x,customsa_vs_flash_x,tensor_vector_ratio,source
b300_fp16,B300 FP16,fp16,2048,flashattention,FlashAttention,0.14399830533235938,0.05702325785244704,2.5252556720797736,0.9611070044917823,32.0,fixed_tile_model
b300_fp16,B300 FP16,fp16,2048,customsa,FlashAttention-CustomSA,0.14399830533235938,0.05933081081081081,2.427040914568474,0.9611070044917823,32.0,fixed_tile_model
b300_fp16,B300 FP16,fp16,4096,flashattention,FlashAttention,0.41399322132943756,0.16509303140978815,2.507635954069061,1.0640328178737193,32.0,fixed_tile_model
b300_fp16,B300 FP16,fp16,4096,customsa,FlashAttention-CustomSA,0.41399322132943756,0.15515783783783782,2.668206950409555,1.0640328178737193,32.0,fixed_tile_model
b300_fp16,B300 FP16,fp16,8192,flashattention,FlashAttention,1.4939728853177503,0.5973721256391527,2.5009082633698183,1.0712671089806813,32.0,fixed_tile_model
b300_fp16,B300 FP16,fp16,8192,customsa,FlashAttention-CustomSA,1.4939728853177503,0.5576313513513513,2.679140765126082,1.0712671089806813,32.0,fixed_tile_model
b300_fp16,B300 FP16,fp16,16384,flashattention,FlashAttention,5.813891541271,2.326488502556611,2.4989986130952433,1.073338516242892,32.0,fixed_tile_model
b300_fp16,B300 FP16,fp16,16384,customsa,FlashAttention-CustomSA,5.813891541271,2.1675254054054056,2.682271463472693,1.073338516242892,32.0,fixed_tile_model
b300_fp16,B300 FP16,fp16,32768,flashattention,FlashAttention,23.093566165084003,9.242954010226443,2.498504930299684,1.0738753202364333,32.0,fixed_tile_model
b300_fp16,B300 FP16,fp16,32768,customsa,FlashAttention-CustomSA,23.093566165084003,8.607101621621622,2.6830827821378804,1.0738753202364333,32.0,fixed_tile_model
b300_fp16,B300 FP16,fp16,65536,flashattention,FlashAttention,92.212264660336,36.90881604090577,2.4983804562611227,1.0836805579799667,32.0,fixed_tile_model
b300_fp16,B300 FP16,fp16,65536,customsa,FlashAttention-CustomSA,92.212264660336,34.05876,2.7074463268872972,1.0836805579799667,32.0,fixed_tile_model
b300_fp16,B300 FP16,fp16,131072,flashattention,FlashAttention,368.687058641344,147.57226416362306,2.4983492713275472,1.0837192727936151,32.0,fixed_tile_model
b300_fp16,B300 FP16,fp16,131072,customsa,FlashAttention-CustomSA,368.687058641344,136.17203999999998,2.707509255507548,1.0837192727936151,32.0,fixed_tile_model
b300_fp16,B300 FP16,fp16,262144,flashattention,FlashAttention,1474.586234565376,590.2260566544924,2.498341470933351,1.0861752033154581,32.0,fixed_tile_model
b300_fp16,B300 FP16,fp16,262144,customsa,FlashAttention-CustomSA,1474.586234565376,543.3985740540542,2.7136365551424735,1.0861752033154581,32.0,fixed_tile_model
b300_fp16,B300 FP16,fp16,524288,flashattention,FlashAttention,5898.182938261504,2360.841226617969,2.498339520574607,1.0861777011114726,32.0,fixed_tile_model
b300_fp16,B300 FP16,fp16,524288,customsa,FlashAttention-CustomSA,5898.182938261504,2173.531296216216,2.713640677053666,1.0861777011114726,32.0,fixed_tile_model
