case_name,case_label,data_type,variant,variant_label,prefill_length,total_latency_ms,bottleneck_component,bottleneck_ms,bottleneck_share_of_total,q_mul_k_ms,softmax_ms,a_mul_v_ms,compute_model_ms,fused_core_ms,hbm_io_ms,configured_hbm_io_ms,onchip_io_ms,non_hbm_critical_ms,hbm_bytes,hbm_mib,configured_hbm_bandwidth_tbps,active_hbm_bandwidth_tbps,required_hbm_bandwidth_tbps,required_hbm_bandwidth_over_config_x,ignore_hbm_bottleneck
awsv2_fp16,AWSv2 FP16,fp16,baseline,Unfused Attention,32768,202.78128906519487,softmax,104.6865636426354,0.5162535662201965,48.907410486374616,104.6865636426354,49.18731493618489,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.82,inf,,,1
awsv2_fp16,AWSv2 FP16,fp16,customsa,FlashAttention-CustomSA,32768,140.68584339427386,fused_core,140.38584339427388,0.997867589284309,0.0,0.0,0.0,0.0,140.38584339427388,0.0,168.2632004682927,49.62579280211567,140.38584339427388,137975824384,131584.0,0.82,inf,0.9828328914653786,1.1985766969089984,1
awsv2_fp16,AWSv2 FP16,fp16,flashattention,FlashAttention,32768,186.19255881338395,matmul_pair,185.8925588133839,0.9983887648254478,138.16476302173163,56.1430341497068,47.7277957916523,185.89255881338397,0.0,0.0,168.2632004682927,49.62579280211567,185.89255881338397,137975824384,131584.0,0.82,inf,0.7422342522193847,0.9051637222187618,1
awsv2_int8,AWSv2 INT8,int8,baseline,Unfused Attention,32768,154.13134460158673,softmax,104.6865636426354,0.6792035968623975,25.04021524663677,104.6865636426354,24.40456571231459,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.82,inf,,,1
awsv2_int8,AWSv2 INT8,int8,customsa,FlashAttention-CustomSA,32768,102.3566650569162,fused_core,102.0566650569162,0.9970690721524272,0.0,0.0,0.0,0.0,102.0566650569162,0.0,84.13160023414635,24.812896401057834,102.0566650569162,68987912192,65792.0,0.82,inf,0.6759765484549783,0.8243616444572908,1
awsv2_int8,AWSv2 INT8,int8,flashattention,FlashAttention,32768,92.89305415660571,matmul_pair,92.59305415660572,0.9967704797444356,69.0852073128665,87.80897136943774,23.50784684373922,92.59305415660572,0.0,0.0,84.13160023414635,24.812896401057834,92.59305415660572,68987912192,65792.0,0.82,inf,0.7450657376018556,0.9086167531729946,1
awsv3_fp16,AWSv3 FP16,fp16,baseline,Unfused Attention,32768,174.90343317610063,softmax,63.36035180817609,0.3622590515097668,55.71679756289308,63.36035180817609,55.82628380503145,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.9,inf,,,1
awsv3_fp16,AWSv3 FP16,fp16,customsa,FlashAttention-CustomSA,32768,40.08143396226415,fused_core,39.78143396226415,0.99251523784597,0.0,0.0,0.0,0.0,39.78143396226415,0.0,12.033313544827584,14.30272536687631,39.78143396226415,34896609280,33280.0,2.9,inf,0.8772084312773191,0.3024856659576962,1
awsv3_fp16,AWSv3 FP16,fp16,flashattention,FlashAttention,32768,53.66392452830189,matmul_pair,53.36392452830189,0.9944096522452104,39.35959748427673,24.75310691823899,14.004327044025157,53.36392452830189,0.0,0.0,12.033313544827584,14.30272536687631,53.36392452830189,34896609280,33280.0,2.9,inf,0.6539363359884142,0.2254952882718669,1
awsv3_int8,AWSv3 INT8,int8,baseline,Unfused Attention,32768,119.57466784591192,softmax,63.36035180817609,0.5298810605087729,28.51907783018868,63.36035180817609,27.695238207547167,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.9,inf,,,1
awsv3_int8,AWSv3 INT8,int8,customsa,FlashAttention-CustomSA,32768,28.575387840670857,onchip_io,28.275387840670856,0.9895014548298444,0.0,0.0,0.0,0.0,23.48518238993711,0.0,23.788935238620688,28.275387840670856,28.275387840670856,68987912192,65792.0,2.9,inf,2.4398573268292685,0.8413301126997478,1
awsv3_int8,AWSv3 INT8,int8,flashattention,FlashAttention,32768,38.75474213836478,softmax,38.45474213836478,0.9922590118409528,19.681408805031445,38.45474213836478,7.087496855345912,38.45474213836478,0.0,0.0,23.788935238620688,28.275387840670856,38.45474213836478,68987912192,65792.0,2.9,inf,1.794002725171663,0.618621629369539,1
awsv4_fp16,AWSv4 FP16,fp16,baseline,Unfused Attention,32768,166.24184921875,a_mul_v,55.48443203125,0.3337573077537208,55.369255078125,55.388162109375,55.48443203125,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.9,inf,,,1
awsv4_fp16,AWSv4 FP16,fp16,customsa,FlashAttention-CustomSA,32768,39.8328,fused_core,39.5328,0.9924685184069412,0.0,0.0,0.0,0.0,39.5328,0.0,7.121756995918368,14.213333333333331,39.5328,34896609280,33280.0,4.9,inf,0.8827254654362959,0.1801480541706726,1
awsv4_fp16,AWSv4 FP16,fp16,flashattention,FlashAttention,32768,53.3304,matmul_pair,53.0304,0.9943746906079834,39.1136,22.1824,13.9168,53.0304,0.0,0.0,7.121756995918368,14.213333333333331,53.0304,34896609280,33280.0,4.9,inf,0.6580491431329955,0.1342957434965296,1
awsv4_int8,AWSv4 INT8,int8,baseline,Unfused Attention,32768,85.716400390625,softmax,55.388162109375,0.6461792825755774,15.10178828125,55.388162109375,15.226450000000002,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.9,inf,,,1
awsv4_int8,AWSv4 INT8,int8,customsa,FlashAttention-CustomSA,32768,28.39866666666667,onchip_io,28.098666666666663,0.9894361237616788,0.0,0.0,0.0,0.0,13.5376,0.0,14.079165753469386,28.098666666666663,28.098666666666663,68987912192,65792.0,4.9,inf,2.4552023414634148,0.5010617023394723,1
awsv4_int8,AWSv4 INT8,int8,flashattention,FlashAttention,32768,36.21040000000001,softmax,35.9104,0.9917150873782116,9.7792,35.9104,3.5648,35.9104,0.0,0.0,14.079165753469386,28.098666666666663,35.9104,68987912192,65792.0,4.9,inf,1.9211123293530563,0.3920637406842971,1
