case_name,case_label,data_type,tensor_tflops,vector_tflops,tensor_vector_ratio,configured_hbm_bandwidth_tbps,baseline_ms_longest,flash_ms_longest,customsa_ms_longest,flash_required_hbm_bandwidth_tbps_longest,customsa_required_hbm_bandwidth_tbps_longest,flash_required_hbm_over_config_x_longest,customsa_required_hbm_over_config_x_longest,flash_speedup_vs_baseline_longest_x,customsa_speedup_vs_baseline_longest_x,flash_to_customsa_longest_x,flash_geomean_speedup_vs_baseline_x,customsa_geomean_speedup_vs_baseline_x
awsv2_fp16,AWSv2 FP16,fp16,189.988864,4.313712,44.043010752688176,0.82,202.78128906519487,186.19255881338395,140.68584339427386,0.7422342522193847,0.9828328914653786,0.9051637222187618,1.1985766969089984,1.0890944856095854,1.4413766458143036,1.3234633586520639,1.1357731047840804,1.4630520927874295
awsv2_int8,AWSv2 INT8,int8,189.988864,4.313712,44.043010752688176,0.82,154.13134460158673,92.89305415660571,102.3566650569162,0.7450657376018556,0.6759765484549783,0.9086167531729946,0.8243616444572908,1.6592343313606759,1.5058261669221134,0.9075427975789542,1.661462961387779,1.519191743978734
awsv3_fp16,AWSv3 FP16,fp16,666.894336,9.850368,67.70247933884298,2.9,174.90343317610063,53.66392452830189,40.08143396226415,0.6539363359884142,0.8772084312773191,0.2254952882718669,0.3024856659576962,3.2592367165367877,4.363701990821203,1.3388723711538209,2.9509418033041968,3.7258645036602758
awsv3_int8,AWSv3 INT8,int8,666.894336,9.850368,67.70247933884298,2.9,119.57466784591192,38.75474213836478,28.575387840670857,1.794002725171663,2.4398573268292685,0.618621629369539,0.8413301126997478,3.0854202930572576,4.184533505288889,1.3562280363245263,2.7570931712757973,3.7065844479895067
awsv4_fp16,AWSv4 FP16,fp16,671.08864,9.8304,68.26666666666668,4.9,166.24184921875,53.3304,39.8328,0.6580491431329955,0.8827254654362959,0.1342957434965296,0.1801480541706726,3.117206119188118,4.173491424623677,1.33885641983491,2.837808470770587,3.582273851180961
awsv4_int8,AWSv4 INT8,int8,671.08864,9.8304,68.26666666666668,4.9,85.716400390625,36.21040000000001,28.39866666666667,1.9211123293530563,2.4552023414634148,0.3920637406842971,0.5010617023394723,2.3671762916351375,3.0183248177364543,1.2750739471336683,2.214894629757725,2.95168823346819
