case_name,case_label,data_type,tensor_tflops,vector_tflops,tensor_vector_ratio,configured_hbm_bandwidth_tbps,baseline_ms_longest,flash_ms_longest,customsa_ms_longest,flash_required_hbm_bandwidth_tbps_longest,customsa_required_hbm_bandwidth_tbps_longest,flash_required_hbm_over_config_x_longest,customsa_required_hbm_over_config_x_longest,flash_speedup_vs_baseline_longest_x,customsa_speedup_vs_baseline_longest_x,flash_to_customsa_longest_x,flash_geomean_speedup_vs_baseline_x,customsa_geomean_speedup_vs_baseline_x
a100_fp16,A100 FP16,fp16,311.86944,77.96736,4.0,2.039,116.45776737588652,66.23525542421854,60.62437021276595,16.613469284525788,18.15160600517688,8.14785153728582,8.902209909355998,1.7582444066986176,1.9209728194646625,1.092551645349234,1.6604457898277745,1.793757675537395
a100_int8,A100 INT8,int8,311.86944,77.96736,4.0,2.039,86.37374468085108,32.3569134226425,30.322685106382977,17.009701942078365,18.15160600517688,8.342178490474922,8.902209909355998,2.66940618076411,2.8484860221916577,1.0670860218718332,2.437335083304239,2.5715601721001176
h100_fp16,H100 FP16,fp16,948.87936,59.30496,16.0,3.35,61.850667806267815,21.819938168004835,20.223849002849004,50.463398272425245,54.45016683205776,15.063700976843355,16.25378114389784,2.8345940914241967,3.0583034810809107,1.0789211373626744,2.545038345598366,2.694979440847253
h100_int8,H100 INT8,int8,948.87936,59.30496,16.0,3.35,51.89443760683761,13.210806026072692,10.11133846153846,20.860529855868226,27.268296643247464,6.227023837572603,8.139790042760437,3.9281810288047043,5.1323015053085035,1.3065338556635202,3.3755615201322735,4.25783983232423
b200_fp16,B200 FP16,fp16,2242.9696,70.0928,32.0,8.0,38.31774918918919,11.556101943024109,8.607101621621622,47.7059229747676,64.09109850438371,5.9632403718459495,8.011387313047964,3.3158022816093164,4.451876005847591,1.3426240854406086,3.1272697092975728,4.007812385374406
b200_int8,B200 INT8,int8,2242.9696,70.0928,32.0,8.0,33.8997427027027,11.180789861212563,4.31405081081081,24.6551544269046,64.09109850438371,3.081894303363075,8.011387313047964,3.0319631370861178,7.85798410573921,2.59171492213166,2.865318706478183,6.476054417159742
