case_name,case_label,data_type,prefill_length,variant,variant_label,baseline_total_ms,variant_total_ms,speedup_vs_baseline_x,customsa_vs_flash_x,tensor_vector_ratio
h100_fp16,H100 FP16,fp16,16384,flashattention,FlashAttention,14.188864957264958,5.4707345420012095,2.5935941231165334,1.0701502971724657,16.0
h100_fp16,H100 FP16,fp16,16384,customsa,FlashAttention-CustomSA,14.188864957264958,5.112117948717949,2.775535521597919,1.0701502971724657,16.0
h100_fp16,H100 FP16,fp16,32768,flashattention,FlashAttention,61.850667806267815,21.819938168004835,2.8345940914241967,1.0789211373626744,16.0
h100_fp16,H100 FP16,fp16,32768,customsa,FlashAttention-CustomSA,61.850667806267815,20.223849002849004,3.0583034810809107,1.0789211373626744,16.0
h100_int8,H100 INT8,int8,2048,flashattention,FlashAttention,0.21831111111111112,0.07252267978934646,3.010246060201169,1.1880973333548315,16.0
h100_int8,H100 INT8,int8,2048,customsa,FlashAttention-CustomSA,0.21831111111111112,0.06104102564102564,3.5764653168668965,1.1880973333548315,16.0
h100_int8,H100 INT8,int8,4096,flashattention,FlashAttention,0.7205413105413104,0.22709071915738582,3.1729227562220954,1.2535083713785558,16.0
h100_int8,H100 INT8,int8,4096,customsa,FlashAttention-CustomSA,0.7205413105413104,0.18116410256410256,3.977285236661917,1.2535083713785558,16.0
h100_int8,H100 INT8,int8,8192,flashattention,FlashAttention,2.8007578347578344,0.8453628766295432,3.313083543394334,1.2776463184297444,16.0
h100_int8,H100 INT8,int8,8192,customsa,FlashAttention-CustomSA,2.8007578347578344,0.6616564102564103,4.232948991867944,1.2776463184297444,16.0
h100_int8,H100 INT8,int8,16384,flashattention,FlashAttention,11.699848433048432,3.318451506518173,3.525695165370758,1.284416540006478,16.0
h100_int8,H100 INT8,int8,16384,customsa,FlashAttention-CustomSA,11.699848433048432,2.5836256410256415,4.528461185423076,1.284416540006478,16.0
h100_int8,H100 INT8,int8,32768,flashattention,FlashAttention,51.89443760683761,13.210806026072692,3.9281810288047043,1.3065338556635202,16.0
h100_int8,H100 INT8,int8,32768,customsa,FlashAttention-CustomSA,51.89443760683761,10.11133846153846,5.1323015053085035,1.3065338556635202,16.0
