case_name,case_label,data_type,variant,variant_label,prefill_length,total_latency_ms,bottleneck_component,bottleneck_ms,bottleneck_share_of_total,q_mul_k_ms,softmax_ms,a_mul_v_ms,compute_model_ms,fused_core_ms,hbm_io_ms,configured_hbm_io_ms,onchip_io_ms,non_hbm_critical_ms,hbm_bytes,hbm_mib,configured_hbm_bandwidth_tbps,active_hbm_bandwidth_tbps,required_hbm_bandwidth_tbps,required_hbm_bandwidth_over_config_x,ignore_hbm_bottleneck
a100_fp16,A100 FP16,fp16,baseline,Unfused Attention,32768,116.45776737588652,softmax,57.465253900709214,0.4934428608375317,29.0002,57.465253900709214,29.99231347517731,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.039,inf,,,1
a100_fp16,A100 FP16,fp16,customsa,FlashAttention-CustomSA,32768,60.62437021276595,fused_core,60.60337021276595,0.9996536046489836,0.0,0.0,0.0,0.0,60.60337021276595,0.0,539.5039228484552,0.0,60.60337021276595,1100048498688,1049088.0,2.039,inf,18.15160600517688,8.902209909355998,1
a100_fp16,A100 FP16,fp16,flashattention,FlashAttention,32768,66.23525542421854,matmul_pair,66.21425542421855,0.9996829483050154,34.75972976096664,17.462494982926188,31.454525663251907,66.21425542421855,0.0,0.0,539.5039228484552,0.0,66.21425542421855,1100048498688,1049088.0,2.039,inf,16.613469284525788,8.14785153728582,1
a100_int8,A100 INT8,int8,baseline,Unfused Attention,32768,86.37374468085108,softmax,57.465253900709214,0.6653092801874222,14.399229787234043,57.465253900709214,14.509260992907802,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.039,inf,,,1
a100_int8,A100 INT8,int8,customsa,FlashAttention-CustomSA,32768,30.322685106382977,fused_core,30.301685106382976,0.9993074491943466,0.0,0.0,0.0,0.0,30.301685106382976,0.0,269.7519614242276,0.0,30.301685106382976,550024249344,524544.0,2.039,inf,18.15160600517688,8.902209909355998,1
a100_int8,A100 INT8,int8,flashattention,FlashAttention,32768,32.3569134226425,matmul_pair,32.3359134226425,0.9993509887755454,17.407408247964277,17.10443120567376,14.928505174678223,32.3359134226425,0.0,0.0,269.7519614242276,0.0,32.3359134226425,550024249344,524544.0,2.039,inf,17.009701942078365,8.342178490474922,1
b200_fp16,B200 FP16,fp16,baseline,Unfused Attention,32768,38.31774918918919,softmax,29.70557837837838,0.7752433012625748,4.276688648648649,29.70557837837838,4.335482162162162,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,inf,,,1
b200_fp16,B200 FP16,fp16,customsa,FlashAttention-CustomSA,32768,8.607101621621622,fused_core,8.586101621621621,0.9975601542861714,0.0,0.0,0.0,0.0,8.586101621621621,0.0,68.78658560000001,0.0,8.586101621621621,550292684800,524800.0,8.0,inf,64.09109850438371,8.011387313047964,1
b200_fp16,B200 FP16,fp16,flashattention,FlashAttention,32768,11.556101943024109,softmax,11.535101943024106,0.998182778232354,4.840759912344777,11.535101943024106,4.381194097881665,11.535101943024106,0.0,0.0,68.78658560000001,0.0,11.535101943024106,550292684800,524800.0,8.0,inf,47.7059229747676,5.9632403718459495,1
b200_int8,B200 INT8,int8,baseline,Unfused Attention,32768,33.8997427027027,softmax,29.70557837837838,0.8762773994744822,2.0793783783783786,29.70557837837838,2.1147859459459464,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,inf,,,1
b200_int8,B200 INT8,int8,customsa,FlashAttention-CustomSA,32768,4.31405081081081,fused_core,4.2930508108108105,0.9951321852892008,0.0,0.0,0.0,0.0,4.2930508108108105,0.0,34.393292800000005,0.0,4.2930508108108105,275146342400,262400.0,8.0,inf,64.09109850438371,8.011387313047964,1
