device_key,device_label,context_length,attention_only_speedup_x,end_to_end_speedup_x,flashattention_model_ms,customsa_model_ms
awsv4,AWSv4,2048,1.1209225700164744,1.0175685989318484,102.031405625,100.26980562499999
awsv4,AWSv4,4096,1.2298136645962732,1.0412219892159145,170.46724562500003,163.71844562500002
awsv4,AWSv4,8192,1.3044608055435254,1.0842762174239355,347.31332562500006,320.31812562500005
awsv4,AWSv4,16384,1.3313693141645062,1.1435693648596044,860.0966856250001,752.115885625
awsv4,AWSv4,32768,1.33885641983491,1.2066514356157156,2522.0282056249994,2090.1050056249996
awsv4,AWSv4,65536,1.3407813612470272,1.259270942758338,8391.350445625001,6663.657645625
awsv4,AWSv4,131072,1.3412660186516079,1.2953187182449468,30311.831725625,23401.060525625002
awsv4,AWSv4,262144,1.3413873984784692,1.316873194147494,114880.14148562502,87237.05668562502
awsv4,AWSv4,524288,1.3414177569275665,1.3287381790053394,446926.14980562497,336353.810605625
b200,B200,2048,1.1134011327703133,1.0084883561926725,25.579670591672752,25.364368794740685
b200,B200,4096,1.2969758451395286,1.0344459902812047,44.28064823959094,42.8061480788897
b200,B200,8192,1.3305275423288099,1.0698517880742981,90.33392999269539,84.43592934989043
b200,B200,16384,1.3401344586375117,1.1219516130814624,217.04579932797665,193.4537967567568
b200,B200,32768,1.3426240854406084,1.1834088193301033,608.8907613148284,514.5227510299488
b200,B200,65536,1.3553461069074866,1.2484217357417782,1946.265578553689,1558.9808498466034
b200,B200,131072,1.355510507798706,1.2930303529804297,6835.754786092039,5286.615871263696
b200,B200,262144,1.358611449503186,1.3241419928652027,25473.69149341125,19237.885083827612
b200,B200,524288,1.3586218438882856,1.3405582440801551,98185.39807701971,73242.17243868516
tpuv6e,TPUv6e,2048,1.2376137216853722,1.0403406098003487,91.92949942857142,88.36480914285713
tpuv6e,TPUv6e,4096,1.4762141676056133,1.1022598393326382,153.94762057142856,139.6654537142857
tpuv6e,TPUv6e,8192,1.626656589531654,1.2089090723260028,330.59054628571437,273.4618788571429
tpuv6e,TPUv6e,16384,1.6803928921898503,1.3444592976965815,891.9157485714287,663.4010788571428
tpuv6e,TPUv6e,32768,1.6952984923408592,1.472952496522924,2846.7235565714286,1932.6648777142857
tpuv6e,TPUv6e,65536,1.6991274987393703,1.568733233499747,10084.968786285715,6428.734070857142
tpuv6e,TPUv6e,131072,1.7000913489001315,1.6290015238920454,37875.97770057143,23251.03883885715
tpuv6e,TPUv6e,262144,1.7003327268364037,1.6631398758287983,146716.06934857141,88216.3139017143
tpuv6e,TPUv6e,524288,1.7003930973297254,1.6813596501762116,577428.5479222856,343429.5261348572
