case_name,case_label,data_type,tensor_tflops,vector_tflops,tensor_vector_ratio,configured_hbm_bandwidth_tbps,baseline_ms_longest,flash_ms_longest,customsa_ms_longest,flash_required_hbm_bandwidth_tbps_longest,customsa_required_hbm_bandwidth_tbps_longest,flash_required_hbm_over_config_x_longest,customsa_required_hbm_over_config_x_longest,flash_speedup_vs_baseline_longest_x,customsa_speedup_vs_baseline_longest_x,flash_to_customsa_longest_x,flash_geomean_speedup_vs_baseline_x,customsa_geomean_speedup_vs_baseline_x
awsv2_fp16,AWSv2 FP16,fp16,189.988864,4.313712,44.043010752688176,0.82,202.78128906519487,186.19255881338395,140.68584339427386,0.7422342522193847,0.9828328914653786,0.9051637222187618,1.1985766969089984,1.0890944856095854,1.4413766458143036,1.3234633586520639,1.1357731047840804,1.4630520927874295
awsv2_int8,AWSv2 INT8,int8,189.988864,4.313712,44.043010752688176,0.82,154.13134460158673,92.89305415660571,70.49292169713694,0.7450657376018556,0.9828328914653786,0.9086167531729946,1.1985766969089984,1.6592343313606759,2.1864797328700702,1.3177642793088906,1.661462961387779,2.084471065624441
awsv3_fp16,AWSv3 FP16,fp16,666.894336,9.850368,67.70247933884298,2.9,174.90343317610063,53.66392452830189,40.08143396226415,0.6539363359884142,0.8772084312773191,0.2254952882718669,0.3024856659576962,3.2592367165367877,4.363701990821203,1.3388723711538209,2.9509418033041968,3.7258645036602758
awsv3_int8,AWSv3 INT8,int8,666.894336,9.850368,67.70247933884298,2.9,119.57466784591192,26.780704402515724,20.19071698113208,0.6589063634705418,0.8772084312773191,0.2272090908519109,0.3024856659576962,4.464956038821716,5.922259618499563,1.3263869939607338,3.645450030145522,4.46776415804636
awsv4_fp16,AWSv4 FP16,fp16,671.08864,9.8304,68.26666666666668,4.9,166.24184921875,53.3304,39.8328,0.6580491431329955,0.8827254654362959,0.1342957434965296,0.1801480541706726,3.117206119188118,4.173491424623677,1.33885641983491,2.837808470770587,3.582273851180961
awsv4_int8,AWSv4 INT8,int8,671.08864,9.8304,68.26666666666668,4.9,85.716400390625,22.3128,14.404,1.5730926471870914,2.4552023414634148,0.3210393157524676,0.5010617023394723,3.8415797385637394,5.950874784131144,1.5490697028603166,3.1720077181467903,4.369034202458911
