case_name,case_label,data_type,prefill_length,variant,variant_label,baseline_total_ms,variant_total_ms,speedup_vs_baseline_x,customsa_vs_flash_x,tensor_vector_ratio
tpuv4_int8,TPUv4 INT8,int8,32768,customsa,FlashAttention-CustomSA,356.9811619047619,104.41641904761904,3.4188221082544583,1.2317040450854109,64.0
tpuv5e_fp16,TPUv5e FP16,fp16,2048,flashattention,FlashAttention,2.5402973333333336,1.017824,2.4958119805912746,1.2264121843069211,32.0
tpuv5e_fp16,TPUv5e FP16,fp16,2048,customsa,FlashAttention-CustomSA,2.5402973333333336,0.8299200000000001,3.060894222736328,1.2264121843069211,32.0
tpuv5e_fp16,TPUv5e FP16,fp16,4096,flashattention,FlashAttention,8.567028,3.128288,2.7385675487678887,1.2988985291577535,32.0
tpuv5e_fp16,TPUv5e FP16,fp16,4096,customsa,FlashAttention-CustomSA,8.567028,2.408416,3.557121361093765,1.2988985291577535,32.0
tpuv5e_fp16,TPUv5e FP16,fp16,8192,flashattention,FlashAttention,32.658910666666664,11.613152,2.812234840865483,1.329699883118929,32.0
tpuv5e_fp16,TPUv5e FP16,fp16,8192,customsa,FlashAttention-CustomSA,32.658910666666664,8.733664000000001,3.7394283392018126,1.329699883118929,32.0
tpuv5e_fp16,TPUv5e FP16,fp16,16384,flashattention,FlashAttention,129.02736266666668,45.552608,2.8324912300667107,1.3384183462879717,32.0
tpuv5e_fp16,TPUv5e FP16,fp16,16384,customsa,FlashAttention-CustomSA,129.02736266666668,34.034656000000005,3.791058228021069,1.3384183462879717,32.0
tpuv5e_fp16,TPUv5e FP16,fp16,32768,flashattention,FlashAttention,514.4071133333333,181.310432,2.8371622507266063,1.3406704877446842,32.0
tpuv5e_fp16,TPUv5e FP16,fp16,32768,customsa,FlashAttention-CustomSA,514.4071133333333,135.23862400000002,3.803699698492446,1.3406704877446842,32.0
tpuv5e_int8,TPUv5e INT8,int8,2048,flashattention,FlashAttention,1.9860099999999998,0.6589973333333333,3.013684425632476,1.117661957052662,32.0
tpuv5e_int8,TPUv5e INT8,int8,2048,customsa,FlashAttention-CustomSA,1.9860099999999998,0.5896213333333333,3.368280433091521,1.117661957052662,32.0
tpuv5e_int8,TPUv5e INT8,int8,4096,flashattention,FlashAttention,6.364655333333333,1.7143146666666664,3.7126529085286566,1.1845559674815922,32.0
tpuv5e_int8,TPUv5e INT8,int8,4096,customsa,FlashAttention-CustomSA,6.364655333333333,1.4472213333333332,4.39784515798551,1.1845559674815922,32.0
tpuv5e_int8,TPUv5e INT8,int8,8192,flashattention,FlashAttention,23.876527333333335,5.913909333333334,4.037350927711213,1.2152640934985457,32.0
tpuv5e_int8,TPUv5e INT8,int8,8192,customsa,FlashAttention-CustomSA,23.876527333333335,4.866357333333333,4.90644761530048,1.2152640934985457,32.0
tpuv5e_int8,TPUv5e INT8,int8,16384,flashattention,FlashAttention,93.924528,22.755637333333336,4.127527901071605,1.225699493653868,32.0
tpuv5e_int8,TPUv5e INT8,int8,16384,customsa,FlashAttention-CustomSA,93.924528,18.565429333333334,5.059108858385678,1.225699493653868,32.0
tpuv5e_int8,TPUv5e INT8,int8,32768,flashattention,FlashAttention,374.14764866666667,90.12254933333332,4.151543109181466,1.2284683702787909,32.0
tpuv5e_int8,TPUv5e INT8,int8,32768,customsa,FlashAttention-CustomSA,374.14764866666667,73.36171733333333,5.1000393974783,1.2284683702787909,32.0
tpuv5p_fp16,TPUv5p FP16,fp16,2048,flashattention,FlashAttention,1.2083485714285715,0.6076388571428571,1.988596610016476,1.152777416417328,32.0
tpuv5p_fp16,TPUv5p FP16,fp16,2048,customsa,FlashAttention-CustomSA,1.2083485714285715,0.5271085714285715,2.29240926239105,1.152777416417328,32.0
