design,data_type,acc_type,array_size,area_scope,power_scope,report_area_um2,report_power_mw,area_per_pe_um2,power_per_pe_mw
FuseMax,FP8,FP16,12,whole_array,whole_array,303321.562971,116.247000,2106.399742854,0.807270833333
FuseMax,FP8,FP16,16,whole_array,whole_array,539479.834067,206.047000,2107.343101824,0.804871093750
FuseMax,FP8,FP16,20,whole_array,whole_array,847660.207242,322.890000,2119.150518105,0.807225000000
FSA,FP8,FP16,4,mesh_1_2,mesh_3_3,1838.214000,0.588000,1838.214000000,0.588000000000
Baseline,INT16,INT32,4,whole_array,whole_array,11661.047855,5.329000,728.815490938,0.333062500000
Baseline,INT16,INT32,8,whole_array,whole_array,47074.607413,19.544000,735.540740828,0.305375000000
Baseline,INT16,INT32,12,whole_array,whole_array,106240.678674,41.415000,737.782490792,0.287604166667
Baseline,INT16,INT32,16,whole_array,whole_array,189159.261640,71.363000,738.903365781,0.278761718750
Baseline,INT16,INT32,20,whole_array,whole_array,295830.356308,108.606000,739.575890770,0.271515000000
Baseline,INT16,INT32,24,whole_array,whole_array,426253.962680,153.741000,740.024240764,0.266911458333
Baseline,INT16,INT32,28,whole_array,whole_array,580568.932761,207.034000,740.521597909,0.264073979592
SCOPE,INT16,INT32,4,whole_array,whole_array,14270.885896,6.806000,891.930368500,0.425375000000
SCOPE,INT16,INT32,8,whole_array,whole_array,56944.439597,24.865000,889.756868703,0.388515625000
SCOPE,INT16,INT32,12,whole_array,whole_array,128001.887107,52.116000,888.901993799,0.361916666667
SCOPE,INT16,INT32,16,whole_array,whole_array,227370.652420,87.641000,888.166611016,0.342347656250
SCOPE,INT16,INT32,20,whole_array,whole_array,355180.263541,133.508000,887.950658853,0.333770000000
SCOPE,INT16,INT32,24,whole_array,whole_array,511190.942475,184.848000,887.484275130,0.320916666667
SCOPE,INT16,INT32,28,whole_array,whole_array,695708.617201,248.636000,887.383440307,0.317137755102
OneSA,INT16,INT32,4,whole_array,whole_array,22195.025749,13.940000,1387.189109313,0.871250000000
OneSA,INT16,INT32,8,whole_array,whole_array,89293.175011,49.417000,1395.205859547,0.772140625000
OneSA,INT16,INT32,12,whole_array,whole_array,214890.479299,111.769000,1492.294995132,0.776173611111
OneSA,INT16,INT32,16,whole_array,whole_array,379821.076445,189.971000,1483.676079863,0.742074218750
OneSA,INT16,INT32,20,whole_array,whole_array,594617.811704,292.778000,1486.544529260,0.731945000000
OneSA,INT16,INT32,24,whole_array,whole_array,857538.734829,406.836000,1488.782525745,0.706312500000
OneSA,INT16,INT32,28,whole_array,whole_array,1169193.811854,538.906000,1491.318637569,0.687380102041
FuseMax,INT16,INT32,4,whole_array,whole_array,43359.245871,24.223000,2709.952866937,1.513937500000
FuseMax,INT16,INT32,8,whole_array,whole_array,173869.541616,96.425000,2716.711587750,1.506640625000
FuseMax,INT16,INT32,12,whole_array,whole_array,391636.601249,216.222000,2719.698619785,1.501541666667
FuseMax,INT16,INT32,16,whole_array,whole_array,695905.936724,383.056000,2718.382565328,1.496312500000
FuseMax,INT16,INT32,20,whole_array,whole_array,1088454.778104,599.254000,2721.136945260,1.498135000000
FuseMax,INT16,INT32,24,whole_array,whole_array,1567528.953359,860.658000,2721.404432915,1.494197916667
Baseline,INT8,INT32,4,whole_array,whole_array,5252.687963,3.371000,328.292997688,0.210687500000
Baseline,INT8,INT32,8,whole_array,whole_array,21230.495850,12.911000,331.726497656,0.201734375000
Baseline,INT8,INT32,12,whole_array,whole_array,47933.423661,28.265000,332.870997646,0.196284722222
Baseline,INT8,INT32,16,whole_array,whole_array,85361.471395,49.608000,333.443247637,0.193781250000
Baseline,INT8,INT32,20,whole_array,whole_array,133514.639053,76.748000,333.786597632,0.191870000000
Baseline,INT8,INT32,24,whole_array,whole_array,192392.926634,109.942000,334.015497628,0.190871527778
Baseline,INT8,INT32,28,whole_array,whole_array,261996.334139,148.663000,334.178997626,0.189621173469
SCOPE,INT8,INT32,4,whole_array,whole_array,7691.921928,4.121000,480.745120500,0.257562500000
SCOPE,INT8,INT32,8,whole_array,whole_array,30610.943707,15.542000,478.295995422,0.242843750000
SCOPE,INT8,INT32,12,whole_array,whole_array,68786.675336,33.495000,477.685245389,0.232604166667
SCOPE,INT8,INT32,16,whole_array,whole_array,122131.294817,57.985000,477.075370379,0.226503906250
SCOPE,INT8,INT32,20,whole_array,whole_array,190739.428149,89.235000,476.848570373,0.223087500000
SCOPE,INT8,INT32,24,whole_array,whole_array,274387.425325,125.811000,476.367057856,0.218421875000
SCOPE,INT8,INT32,28,whole_array,whole_array,373379.072359,169.517000,476.248816784,0.216220663265
OneSA,INT8,INT32,4,whole_array,whole_array,9713.213905,7.535000,607.075869063,0.470937500000
OneSA,INT8,INT32,8,whole_array,whole_array,38927.447623,28.731000,608.241369109,0.448921875000
OneSA,INT8,INT32,12,whole_array,whole_array,87689.825156,62.569000,608.957119139,0.434506944444
OneSA,INT8,INT32,16,whole_array,whole_array,155972.500504,109.217000,609.267580094,0.426628906250
OneSA,INT8,INT32,20,whole_array,whole_array,237461.235356,170.218000,593.653088390,0.425545000000
OneSA,INT8,INT32,24,whole_array,whole_array,342025.736195,240.507000,593.794680894,0.417546875000
OneSA,INT8,INT32,28,whole_array,whole_array,465593.556824,323.965000,593.869332684,0.413220663265
FuseMax,INT8,INT32,4,whole_array,whole_array,42635.375878,23.082000,2664.710992375,1.442625000000
FuseMax,INT8,INT32,8,whole_array,whole_array,171188.135616,91.569000,2674.814619000,1.430765625000
FuseMax,INT8,INT32,12,whole_array,whole_array,385540.343227,206.152000,2677.363494632,1.431611111111
FuseMax,INT8,INT32,16,whole_array,whole_array,685694.770704,366.048000,2678.495198063,1.429875000000
FuseMax,INT8,INT32,20,whole_array,whole_array,1072160.458029,571.133000,2680.401145073,1.427832500000
FuseMax,INT8,INT32,24,whole_array,whole_array,1544770.833328,820.539000,2681.893807861,1.424546875000
