model,metric,fp16_exact,fp16_pinn8,fp16_pinn16,fp16_pinn32,int8_exact,int8_pinn8,int8_pinn16,int8_pinn32
facebook-opt-6.7b,ppl,10.860248000666788,10.79082583699566,10.831248638955778,10.832385921390754,10.921177257192172,10.874557495033715,10.897512146052595,10.887520569555223
facebook-opt-6.7b,group1_mean,0.672581974840876,0.6743835016656718,0.6720877280856044,0.6723902634364823,0.6724449084648345,0.6726175972918,0.6734807346598626,0.6710614368039897
facebook-opt-6.7b,arc_easy,0.601010101010101,0.6039562289562289,0.601010101010101,0.6014309764309764,0.5984848484848485,0.6085858585858586,0.6056397306397306,0.6047979797979798
facebook-opt-6.7b,hellaswag,0.6718781119298944,0.6734714200358495,0.6717785301732723,0.6717785301732723,0.6719776936865166,0.6730730930093607,0.6721768571997611,0.6726747659828719
facebook-opt-6.7b,piqa,0.76550598476605,0.7665941240478781,0.764417845484222,0.764417845484222,0.7665941240478781,0.7671381936887922,0.764961915125136,0.7611534276387377
facebook-opt-6.7b,winogrande,0.6519337016574586,0.6535122336227308,0.6511444356748224,0.6519337016574586,0.6527229676400947,0.6416732438831886,0.6511444356748224,0.6456195737963694
Llama-2-7b-hf,ppl,5.4737761654406745,5.508903230126065,5.476649061862768,5.475514622171294,5.562552688899083,5.68094312552613,5.697088620709483,5.687801129024639
Llama-2-7b-hf,group1_mean,0.7443420744423038,0.7450882187307706,0.745742548252476,0.7462868199198314,0.7399642381661665,0.7395803793687049,0.7415337370461069,0.7399218085670154
Llama-2-7b-hf,arc_easy,0.7466329966329966,0.7441077441077442,0.7462121212121212,0.7457912457912458,0.7382154882154882,0.7411616161616161,0.7373737373737373,0.7344276094276094
Llama-2-7b-hf,hellaswag,0.759609639514041,0.7586138219478191,0.760107548297152,0.7591117307309301,0.7538338976299542,0.7502489543915555,0.7507468631746664,0.7500497908783111
Llama-2-7b-hf,piqa,0.7899891186071817,0.7878128400435256,0.7899891186071817,0.7872687704026116,0.7850924918389554,0.7818280739934712,0.7834602829162133,0.7861806311207835
Llama-2-7b-hf,winogrande,0.681136543014996,0.6898184688239937,0.6866614048934491,0.6929755327545383,0.6827150749802684,0.6850828729281768,0.6945540647198106,0.6890292028413575
Llama-3-8b,ppl,6.137873637780244,6.224712988612969,6.147749522308614,6.147380652655276,6.4399355620509,6.75046506657051,6.794293545864741,6.75646822282955
Llama-3-8b,group1_mean,0.7761237992607539,0.7762697758851054,0.7761794612475879,0.7774414005836525,0.7672924403366457,0.7635558932623656,0.7635304337813639,0.765433670524688
Llama-3-8b,arc_easy,0.7769360269360269,0.7760942760942761,0.7765151515151515,0.7781986531986532,0.7634680134680135,0.7617845117845118,0.7634680134680135,0.76010101010101
Llama-3-8b,hellaswag,0.7914758016331408,0.790479984066919,0.7918741286596296,0.7913762198765186,0.7778331009759012,0.7732523401712806,0.7728540131447919,0.7753435570603465
Llama-3-8b,piqa,0.8052230685527747,0.8068552774755169,0.8046789989118607,0.8101196953210011,0.795429815016322,0.795429815016322,0.7932535364526659,0.795429815016322
Llama-3-8b,winogrande,0.7308602999210734,0.7316495659037096,0.7316495659037096,0.7300710339384373,0.7324388318863457,0.7237569060773481,0.7245461720599842,0.7308602999210734
Qwen2.5-7B,ppl,7.7337096899453925,7.761397018116425,7.7154840445830475,7.721322625722202,8.390986235958355,8.705587649266464,8.704926707840523,8.67746819435271
Qwen2.5-7B,group1_mean,0.7621422761171504,0.7623580849089272,0.7626880007555082,0.764586292495254,0.739920171685887,0.7346189310656484,0.733176871156598,0.7289226802162369
Qwen2.5-7B,arc_easy,0.7592592592592593,0.7613636363636364,0.7596801346801347,0.7546296296296297,0.7205387205387206,0.7125420875420876,0.7272727272727273,0.7095959595959596
Qwen2.5-7B,hellaswag,0.7814180442143,0.7807209719179447,0.7821151165106552,0.7822146982672774,0.7576180043815973,0.7504481179047998,0.7531368253335989,0.7501493726349333
Qwen2.5-7B,piqa,0.7959738846572362,0.795429815016322,0.7883569096844396,0.79379760609358,0.7861806311207835,0.778563656147987,0.7774755168661589,0.7763873775843307
Qwen2.5-7B,winogrande,0.7119179163378059,0.7119179163378059,0.7205998421468035,0.7277032359905288,0.6953433307024467,0.696921862667719,0.6748224151539068,0.6795580110497238
Qwen3-8B,ppl,9.728187856261416,9.466862330480758,9.659865580530827,9.643927559686755,10.053713198423925,9.924109514452955,9.9683554986082,9.906194060872433
Qwen3-8B,group1_mean,0.7524839705320889,0.7536392159932076,0.7523457440650236,0.7524017360837776,0.7442861908652854,0.740378042882692,0.7418792854032314,0.7394448173362466
Qwen3-8B,arc_easy,0.8097643097643098,0.8093434343434344,0.8106060606060606,0.8093434343434344,0.7912457912457912,0.7887205387205387,0.789983164983165,0.7895622895622896
Qwen3-8B,hellaswag,0.7497510456084445,0.750547699661422,0.7495518820952002,0.7496514638518224,0.7399920334594702,0.7296355307707628,0.731925911173073,0.7288388767177854
Qwen3-8B,piqa,0.7763873775843307,0.7774755168661589,0.7720348204570185,0.7742110990206746,0.7671381936887922,0.7714907508161044,0.766050054406964,0.7606093579978237
Qwen3-8B,winogrande,0.6740331491712708,0.6771902131018153,0.6771902131018153,0.6764009471191792,0.6787687450670876,0.6716653512233622,0.6795580110497238,0.6787687450670876
