model,system,data_type,batch_size,context_length,variant,variant_label,num_layers,attention_core_ms,q_proj_ms,k_proj_ms,v_proj_ms,o_proj_ms,attention_total_ms,attn_norm_ms,residual_add1_ms,ffn_norm_ms,gate_proj_ms,up_proj_ms,silu_ms,gate_mul_ms,down_proj_ms,residual_add2_ms,ffn_total_ms,non_attention_per_layer_ms,layer_total_ms,decoder_stack_ms,final_norm_ms,lm_head_ms,model_total_ms,attention_share_of_layer,attention_share_of_model
llama3_8b,B300 FP16,fp16,1,2048,baseline,Unfused Attention,32,0.14399830533235938,0.05163772096420745,0.05163772096420745,0.05163772096420745,0.05163772096420745,0.3505491891891892,0.04547871439006575,0.00011967859751643534,0.04547871439006575,0.12823202337472608,0.12823202337472608,0.04835100073046019,0.00041887509130752375,0.12823202337472608,0.00011967859751643534,0.4790643389335281,0.5246627319211103,0.8752119211102996,28.006781475529586,0.04547871439006575,0.021468429510591674,28.07372861943024,0.40053063804761735,0.39957549658331476
llama3_8b,B300 FP16,fp16,1,2048,flashattention,FlashAttention,32,0.05702325785244704,0.05163772096420745,0.05163772096420745,0.05163772096420745,0.05163772096420745,0.26357414170927684,0.04547871439006575,0.00011967859751643534,0.04547871439006575,0.12823202337472608,0.12823202337472608,0.04835100073046019,0.00041887509130752375,0.12823202337472608,0.00011967859751643534,0.4790643389335281,0.5246627319211103,0.7882368736303872,25.22357995617239,0.04547871439006575,0.021468429510591674,25.290527100073046,0.33438443509415117,0.3334992782602976
llama3_8b,B300 FP16,fp16,1,2048,customsa,FlashAttention-CustomSA,32,0.05933081081081081,0.05163772096420745,0.05163772096420745,0.05163772096420745,0.05163772096420745,0.2658816946676406,0.04547871439006575,0.00011967859751643534,0.04547871439006575,0.12823202337472608,0.12823202337472608,0.04835100073046019,0.00041887509130752375,0.12823202337472608,0.00011967859751643534,0.4790643389335281,0.5246627319211103,0.7905444265887509,25.29742165084003,0.04547871439006575,0.021468429510591674,25.364368794740685,0.33632732800980825,0.3354396199730656
llama3_8b,B300 FP16,fp16,1,4096,baseline,Unfused Attention,32,0.41399322132943756,0.08227544192841489,0.08227544192841489,0.08227544192841489,0.08227544192841489,0.7430949890430971,0.04595742878013148,0.00023935719503287068,0.04595742878013148,0.23546404674945215,0.23546404674945215,0.05170200146092038,0.0008377501826150475,0.23546404674945215,0.00023935719503287068,0.8051286778670562,0.8513254638422205,1.5944204528853176,51.021454492330164,0.04595742878013148,0.021468429510591674,51.08888035062089,0.4660596191540112,0.46544452503528233
llama3_8b,B300 FP16,fp16,1,4096,flashattention,FlashAttention,32,0.16509303140978815,0.08227544192841489,0.08227544192841489,0.08227544192841489,0.08227544192841489,0.4941947991234477,0.04595742878013148,0.00023935719503287068,0.04595742878013148,0.23546404674945215,0.23546404674945215,0.05170200146092038,0.0008377501826150475,0.23546404674945215,0.00023935719503287068,0.8051286778670562,0.8513254638422205,1.3455202629656682,43.05664841490138,0.04595742878013148,0.021468429510591674,43.12407427319211,0.36728900539497666,0.36671473738234367
llama3_8b,B300 FP16,fp16,1,4096,customsa,FlashAttention-CustomSA,32,0.15515783783783782,0.08227544192841489,0.08227544192841489,0.08227544192841489,0.08227544192841489,0.4842596055514974,0.04595742878013148,0.00023935719503287068,0.04595742878013148,0.23546404674945215,0.23546404674945215,0.05170200146092038,0.0008377501826150475,0.23546404674945215,0.00023935719503287068,0.8051286778670562,0.8513254638422205,1.335585069393718,42.73872222059897,0.04595742878013148,0.021468429510591674,42.8061480788897,0.36258237430830564,0.3620112547638941
llama3_8b,B300 FP16,fp16,1,8192,baseline,Unfused Attention,32,1.4939728853177503,0.1435508838568298,0.1435508838568298,0.1435508838568298,0.1435508838568298,2.0681764207450692,0.046914857560262965,0.00047871439006574136,0.046914857560262965,0.44992809349890434,0.44992809349890434,0.05840400292184077,0.001675500365230095,0.44992809349890434,0.00047871439006574136,1.4572573557341124,1.504650927684441,3.5728273484295103,114.33047514974433,0.046914857560262965,0.021468429510591674,114.39885843681519,0.5788626818629137,0.5785166597654091
llama3_8b,B300 FP16,fp16,1,8192,flashattention,FlashAttention,32,0.5973721256391527,0.1435508838568298,0.1435508838568298,0.1435508838568298,0.1435508838568298,1.1715756610664718,0.046914857560262965,0.00047871439006574136,0.046914857560262965,0.44992809349890434,0.44992809349890434,0.05840400292184077,0.001675500365230095,0.44992809349890434,0.00047871439006574136,1.4572573557341124,1.504650927684441,2.6762265887509127,85.6392508400292,0.046914857560262965,0.021468429510591674,85.70763412710006,0.4377714749532051,0.4374221915696647
llama3_8b,B300 FP16,fp16,1,8192,customsa,FlashAttention-CustomSA,32,0.5576313513513513,0.1435508838568298,0.1435508838568298,0.1435508838568298,0.1435508838568298,1.1318348867786705,0.046914857560262965,0.00047871439006574136,0.046914857560262965,0.44992809349890434,0.44992809349890434,0.05840400292184077,0.001675500365230095,0.44992809349890434,0.00047871439006574136,1.4572573557341124,1.504650927684441,2.6364858144631116,84.36754606281957,0.046914857560262965,0.021468429510591674,84.43592934989043,0.4292967861119158,0.42894910562104754
llama3_8b,B300 FP16,fp16,1,16384,baseline,Unfused Attention,32,5.813891541271,0.2661017677136596,0.2661017677136596,0.2661017677136596,0.2661017677136596,6.878298612125639,0.04882971512052594,0.0009574287801314827,0.04882971512052594,0.8788561869978087,0.8788561869978087,0.07180800584368152,0.00335100073046019,0.8788561869978087,0.0009574287801314827,2.7615147114682252,2.8113018553688827,9.689600467494522,310.0672149598247,0.04882971512052594,0.021468429510591674,310.1375131044558,0.7098640067978146,0.7097031035838861
