case_name,case_label,system_config_path,data_type,prefill_length,batch_size,hidden_size,num_heads,head_dim,compile_mode,variant,variant_label,attention_variant,total_latency_ms,q_mul_k_ms,softmax_ms,a_mul_v_ms,compute_model_ms,fused_core_ms,hbm_io_ms,configured_hbm_io_ms,onchip_io_ms,kernel_overhead_ms,non_hbm_critical_ms,bottleneck_component,bottleneck_ms,bottleneck_share_of_total,software_q_tile_size,software_kv_tile_size,logical_q_tile_size,tensor_tflops,vector_tflops,tensor_vector_ratio,hbm_bytes,hbm_mib,configured_hbm_bandwidth_tbps,active_hbm_bandwidth_tbps,configured_onchip_bandwidth_tbps,active_onchip_bandwidth_tbps,required_hbm_bandwidth_tbps,required_hbm_bandwidth_over_config_x,ignore_hbm_bottleneck,ignore_onchip_io_bottleneck,sram_kib,l2_mb
a100_fp16,A100 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,fp16,16384,1,4096,32,128,heuristic-GPU,flashattention,FlashAttention,flashattention,16.574563856054638,8.68993244024166,4.365623745731547,7.863631415812977,16.553563856054637,0.0,0.0,134.94180598332517,0.0,0.020999999999999998,16.553563856054637,matmul_pair,16.553563856054637,0.998732998335137,16,256,,311.86944,77.96736,4.0,275146342400,262400.0,2.039,inf,inf,inf,16.621577371048254,8.151828038768148,1,1,192,48.0
a100_fp16,A100 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,fp16,32768,1,4096,32,128,heuristic-GPU,baseline,Unfused Attention,trivial,116.45776737588652,29.0002,57.465253900709214,29.99231347517731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,softmax,57.465253900709214,0.49344286083753175,,,,311.86944,77.96736,4.0,0,0.0,2.039,inf,inf,inf,,,1,1,192,48.0
a100_fp16,A100 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,fp16,32768,1,4096,32,128,heuristic-GPU,customsa,FlashAttention-CustomSA,flashattention_customsa,60.62437021276595,0.0,0.0,0.0,0.0,60.60337021276595,0.0,539.5039228484552,0.0,0.020999999999999998,60.60337021276595,fused_core,60.60337021276595,0.9996536046489836,16,256,16,311.86944,77.96736,4.0,1100048498688,1049088.0,2.039,inf,inf,inf,18.15160600517688,8.902209909355998,1,1,192,48.0
a100_fp16,A100 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,fp16,32768,1,4096,32,128,heuristic-GPU,flashattention,FlashAttention,flashattention,66.23525542421854,34.75972976096664,17.462494982926188,31.454525663251907,66.21425542421855,0.0,0.0,539.5039228484552,0.0,0.020999999999999998,66.21425542421855,matmul_pair,66.21425542421855,0.9996829483050154,16,256,,311.86944,77.96736,4.0,1100048498688,1049088.0,2.039,inf,inf,inf,16.613469284525788,8.14785153728582,1,1,192,48.0
a100_int8,A100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,int8,2048,1,4096,32,128,heuristic-GPU,baseline,Unfused Attention,trivial,0.34617872340425526,0.07716737588652482,0.19140992907801418,0.07760141843971631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,softmax,0.19140992907801418,0.5529222801324287,,,,311.86944,77.96736,4.0,0,0.0,2.039,inf,inf,inf,,,1,1,192,48.0
a100_int8,A100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,int8,2048,1,4096,32,128,heuristic-GPU,customsa,FlashAttention-CustomSA,flashattention_customsa,0.1474113475177305,0.0,0.0,0.0,0.0,0.12641134751773048,0.0,1.0614324982834724,0.0,0.020999999999999998,0.12641134751773048,fused_core,0.12641134751773048,0.8575414962713495,16,512,16,311.86944,77.96736,4.0,2164260864,2064.0,2.039,inf,inf,inf,17.1207799497307,8.396655198494702,1,1,192,48.0
a100_int8,A100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,int8,2048,1,4096,32,128,heuristic-GPU,flashattention,FlashAttention,flashattention,0.14731216180719725,0.06799768846861046,0.07370002626740216,0.05831447333858681,0.12631216180719726,0.0,0.0,1.0614324982834724,0.0,0.020999999999999998,0.12631216180719726,matmul_pair,0.12631216180719726,0.8574455785430338,16,512,,311.86944,77.96736,4.0,2164260864,2064.0,2.039,inf,inf,inf,17.13422391822828,8.40324861119582,1,1,192,48.0
a100_int8,A100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,int8,4096,1,4096,32,128,heuristic-GPU,baseline,Unfused Attention,trivial,1.228555319148936,0.24566950354609932,0.7354836879432624,0.24740212765957445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,softmax,0.7354836879432624,0.5986573632294866,,,,311.86944,77.96736,4.0,0,0.0,2.039,inf,inf,inf,,,1,1,192,48.0
a100_int8,A100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,int8,4096,1,4096,32,128,heuristic-GPU,customsa,FlashAttention-CustomSA,flashattention_customsa,0.5013631205673759,0.0,0.0,0.0,0.0,0.4803631205673759,0.0,4.229273675331045,0.0,0.020999999999999998,0.4803631205673759,fused_core,0.4803631205673759,0.9581141908159599,16,512,16,311.86944,77.96736,4.0,8623489024,8224.0,2.039,inf,inf,inf,17.95202140791836,8.804326340322882,1,1,192,48.0
a100_int8,A100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,int8,4096,1,4096,32,128,heuristic-GPU,flashattention,FlashAttention,flashattention,0.5262486472287891,0.2719907538744418,0.29480010506960863,0.23325789335434724,0.505248647228789,0.0,0.0,4.229273675331045,0.0,0.020999999999999998,0.505248647228789,matmul_pair,0.505248647228789,0.9600949092969921,16,512,,311.86944,77.96736,4.0,8623489024,8224.0,2.039,inf,inf,inf,17.06781219761499,8.370677880144674,1,1,192,48.0
a100_int8,A100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,int8,8192,1,4096,32,128,heuristic-GPU,baseline,Unfused Attention,trivial,4.851129078014184,0.9196780141843971,3.005282269503546,0.9261687943262411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,softmax,3.005282269503546,0.6195016090426855,,,,311.86944,77.96736,4.0,0,0.0,2.039,inf,inf,inf,,,1,1,192,48.0
a100_int8,A100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,int8,8192,1,4096,32,128,heuristic-GPU,customsa,FlashAttention-CustomSA,flashattention_customsa,1.9424524822695035,0.0,0.0,0.0,0.0,1.9214524822695036,0.0,16.88418206571849,0.0,0.020999999999999998,1.9214524822695036,fused_core,1.9214524822695036,0.9891889247270214,16,512,16,311.86944,77.96736,4.0,34426847232,32832.0,2.039,inf,inf,inf,17.9170952962298,8.787197300750268,1,1,192,48.0
a100_int8,A100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,int8,8192,1,4096,32,128,heuristic-GPU,flashattention,FlashAttention,flashattention,2.0419945889151565,1.0879630154977673,1.1792004202784345,0.933031573417389,2.020994588915156,0.0,0.0,16.88418206571849,0.0,0.020999999999999998,2.020994588915156,matmul_pair,2.020994588915156,0.9897159374887683,16,512,,311.86944,77.96736,4.0,34426847232,32832.0,2.039,inf,inf,inf,17.03460633730835,8.354392514619102,1,1,192,48.0
a100_int8,A100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,int8,16384,1,4096,32,128,heuristic-GPU,baseline,Unfused Attention,trivial,20.038243971631207,3.6156382978723407,12.779909219858157,3.6426964539007094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,softmax,12.779909219858157,0.6377759068085551,,,,311.86944,77.96736,4.0,0,0.0,2.039,inf,inf,inf,,,1,1,192,48.0
a100_int8,A100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,int8,16384,1,4096,32,128,heuristic-GPU,customsa,FlashAttention-CustomSA,flashattention_customsa,7.706809929078014,0.0,0.0,0.0,0.0,7.685809929078014,0.0,67.47090299166258,0.0,0.020999999999999998,7.685809929078014,fused_core,7.685809929078014,0.9972751371587917,16,512,16,311.86944,77.96736,4.0,137573171200,131200.0,2.039,inf,inf,inf,17.89963224038552,8.778632780963964,1,1,192,48.0
a100_int8,A100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,int8,16384,1,4096,32,128,heuristic-GPU,flashattention,FlashAttention,flashattention,8.104978355660625,4.351852061991069,4.716801681113738,3.732126293669556,8.083978355660625,0.0,0.0,67.47090299166258,0.0,0.020999999999999998,8.083978355660625,matmul_pair,8.083978355660625,0.9974089998666889,16,512,,311.86944,77.96736,4.0,137573171200,131200.0,2.039,inf,inf,inf,17.018003407155028,8.346249831856316,1,1,192,48.0
a100_int8,A100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,int8,32768,1,4096,32,128,heuristic-GPU,baseline,Unfused Attention,trivial,86.37374468085108,14.399229787234043,57.465253900709214,14.509260992907802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,softmax,57.465253900709214,0.6653092801874222,,,,311.86944,77.96736,4.0,0,0.0,2.039,inf,inf,inf,,,1,1,192,48.0
a100_int8,A100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,int8,32768,1,4096,32,128,heuristic-GPU,customsa,FlashAttention-CustomSA,flashattention_customsa,30.76423971631206,0.0,0.0,0.0,0.0,30.743239716312058,0.0,269.7519614242276,0.0,0.020999999999999998,30.743239716312058,fused_core,30.743239716312058,0.9993173892742467,16,512,16,311.86944,77.96736,4.0,550024249344,524544.0,2.039,inf,inf,inf,17.890900712463385,8.774350521070811,1,1,192,48.0
a100_int8,A100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,int8,32768,1,4096,32,128,heuristic-GPU,flashattention,FlashAttention,flashattention,32.3569134226425,17.407408247964277,18.867206724454952,14.928505174678223,32.3359134226425,0.0,0.0,269.7519614242276,0.0,0.020999999999999998,32.3359134226425,matmul_pair,32.3359134226425,0.9993509887755454,16,512,,311.86944,77.96736,4.0,550024249344,524544.0,2.039,inf,inf,inf,17.009701942078365,8.342178490474922,1,1,192,48.0
b200_fp16,B200 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B200_fp16.json,fp16,2048,1,4096,32,128,heuristic-GPU,baseline,Unfused Attention,trivial,0.19356432432432433,0.037628108108108106,0.11807567567567569,0.03786054054054054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,softmax,0.11807567567567569,0.6100074282171721,,,,2242.9696,70.0928,32.0,0,0.0,8.0,inf,inf,inf,,,1,1,228,126.0
b200_fp16,B200 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B200_fp16.json,fp16,2048,1,4096,32,128,heuristic-GPU,customsa,FlashAttention-CustomSA,flashattention_customsa,0.05933081081081081,0.0,0.0,0.0,0.0,0.038330810810810814,0.0,0.27262976,0.0,0.020999999999999998,0.038330810810810814,fused_core,0.038330810810810814,0.6460523678504401,32,256,32,2242.9696,70.0928,32.0,2181038080,2080.0,8.0,inf,inf,inf,56.90038989169675,7.112548736462093,1,1,228,126.0
b200_fp16,B200 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B200_fp16.json,fp16,2048,1,4096,32,128,heuristic-GPU,flashattention,FlashAttention,flashattention,0.0660589919649379,0.018909218407596785,0.045058991964937914,0.017114039444850255,0.045058991964937914,0.0,0.0,0.27262976,0.0,0.020999999999999998,0.045058991964937914,softmax,0.045058991964937914,0.682102324371735,32,256,,2242.9696,70.0928,32.0,2181038080,2080.0,8.0,inf,inf,inf,48.404058432934924,6.0505073041168655,1,1,228,126.0
b200_fp16,B200 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B200_fp16.json,fp16,4096,1,4096,32,128,heuristic-GPU,baseline,Unfused Attention,trivial,0.613545945945946,0.08749513513513513,0.43772972972972973,0.08832108108108108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,softmax,0.43772972972972973,0.7134424611914788,,,,2242.9696,70.0928,32.0,0,0.0,8.0,inf,inf,inf,,,1,1,228,126.0
b200_fp16,B200 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B200_fp16.json,fp16,4096,1,4096,32,128,heuristic-GPU,customsa,FlashAttention-CustomSA,flashattention_customsa,0.15515783783783782,0.0,0.0,0.0,0.0,0.13415783783783783,0.0,1.082130432,0.0,0.020999999999999998,0.13415783783783783,fused_core,0.13415783783783783,0.8646539530800371,32,256,32,2242.9696,70.0928,32.0,8657043456,8256.0,8.0,inf,inf,inf,64.52879381124292,8.066099226405365,1,1,228,126.0
