case_name,case_label,data_type,prefill_length,variant,variant_label,baseline_total_ms,variant_total_ms,speedup_vs_baseline_x,customsa_vs_flash_x,tensor_vector_ratio
a100_fp16,A100 FP16,fp16,2048,flashattention,FlashAttention,0.4636914893617022,0.27964943525085373,1.6581170240725047,1.0350046032593214,4.0
a100_fp16,A100 FP16,fp16,2048,customsa,FlashAttention-CustomSA,0.4636914893617022,0.2701914893617022,1.7161587526576896,1.0350046032593214,4.0
a100_fp16,A100 FP16,fp16,4096,flashattention,FlashAttention,1.6983914893617023,1.0555977410034147,1.6089381621329257,1.0905750347784144,4.0
a100_fp16,A100 FP16,fp16,4096,customsa,FlashAttention-CustomSA,1.6983914893617023,0.967927659574468,1.7546677921244336,1.0905750347784144,4.0
a100_fp16,A100 FP16,fp16,8192,flashattention,FlashAttention,6.7312765957446805,4.159390964013659,1.6183322640219533,1.0920732392189572,4.0
a100_fp16,A100 FP16,fp16,8192,customsa,FlashAttention-CustomSA,6.7312765957446805,3.8087106382978724,1.7673373577030032,1.0920732392189572,4.0
a100_fp16,A100 FP16,fp16,16384,flashattention,FlashAttention,27.55904397163121,16.574563856054638,1.6627311711471655,1.0924555668136748,4.0
a100_fp16,A100 FP16,fp16,16384,customsa,FlashAttention-CustomSA,27.55904397163121,15.171842553191489,1.816459924034342,1.0924555668136748,4.0
a100_fp16,A100 FP16,fp16,32768,flashattention,FlashAttention,116.45776737588652,66.23525542421854,1.7582444066986176,1.092551645349234,4.0
a100_fp16,A100 FP16,fp16,32768,customsa,FlashAttention-CustomSA,116.45776737588652,60.62437021276595,1.9209728194646625,1.092551645349234,4.0
a100_int8,A100 INT8,int8,2048,flashattention,FlashAttention,0.34617872340425526,0.14731216180719725,2.3499670302668925,0.9993271500993415,4.0
a100_int8,A100 INT8,int8,2048,customsa,FlashAttention-CustomSA,0.34617872340425526,0.1474113475177305,2.3483858551840266,0.9993271500993415,4.0
a100_int8,A100 INT8,int8,4096,flashattention,FlashAttention,1.228555319148936,0.5262486472287891,2.3345529259190965,1.0496357343421092,4.0
a100_int8,A100 INT8,int8,4096,customsa,FlashAttention-CustomSA,1.228555319148936,0.5013631205673759,2.450430174757611,1.0496357343421092,4.0
a100_int8,A100 INT8,int8,8192,flashattention,FlashAttention,4.851129078014184,2.0419945889151565,2.3756816518262305,1.0512455813227157,4.0
a100_int8,A100 INT8,int8,8192,customsa,FlashAttention-CustomSA,4.851129078014184,1.9424524822695035,2.4974248391117757,1.0512455813227157,4.0
a100_int8,A100 INT8,int8,16384,flashattention,FlashAttention,20.038243971631207,8.104978355660625,2.4723377524674364,1.051664492863683,4.0
a100_int8,A100 INT8,int8,16384,customsa,FlashAttention-CustomSA,20.038243971631207,7.706809929078014,2.6000698286364035,1.051664492863683,4.0
a100_int8,A100 INT8,int8,32768,flashattention,FlashAttention,86.37374468085108,32.3569134226425,2.66940618076411,1.0517702930745907,4.0
a100_int8,A100 INT8,int8,32768,customsa,FlashAttention-CustomSA,86.37374468085108,30.76423971631206,2.807602121077392,1.0517702930745907,4.0
b200_fp16,B200 FP16,fp16,2048,flashattention,FlashAttention,0.19356432432432433,0.0660589919649379,2.9301737517742077,1.1134011327703133,32.0
b200_fp16,B200 FP16,fp16,2048,customsa,FlashAttention-CustomSA,0.19356432432432433,0.05933081081081081,3.2624587744392413,1.1134011327703133,32.0
b200_fp16,B200 FP16,fp16,4096,flashattention,FlashAttention,0.613545945945946,0.20123596785975165,3.048888091285687,1.2969758451395286,32.0
