case_name,case_label,data_type,tensor_tflops,vector_tflops,tensor_vector_ratio,configured_hbm_bandwidth_tbps,baseline_ms_longest,flash_ms_longest,customsa_ms_longest,flash_required_hbm_bandwidth_tbps_longest,customsa_required_hbm_bandwidth_tbps_longest,flash_required_hbm_over_config_x_longest,customsa_required_hbm_over_config_x_longest,flash_speedup_vs_baseline_longest_x,customsa_speedup_vs_baseline_longest_x,flash_to_customsa_longest_x,flash_geomean_speedup_vs_baseline_x,customsa_geomean_speedup_vs_baseline_x
a100_fp16,A100 FP16,fp16,311.86944,77.96736,4.0,2.039,116.45776737588652,66.23525542421854,60.62437021276595,16.613469284525788,18.15160600517688,8.14785153728582,8.902209909355998,1.7582444066986176,1.9209728194646625,1.092551645349234,1.6604457898277745,1.793757675537395
a100_int8,A100 INT8,int8,311.86944,77.96736,4.0,2.039,86.37374468085108,32.3569134226425,30.76423971631206,17.009701942078365,17.890900712463385,8.342178490474922,8.774350521070811,2.66940618076411,2.807602121077392,1.0517702930745907,2.437335083304239,2.536091728598636
h100_fp16,H100 FP16,fp16,948.87936,59.30496,16.0,3.35,61.850667806267815,21.819938168004835,20.223849002849004,50.463398272425245,54.45016683205776,15.063700976843355,16.25378114389784,2.8345940914241967,3.0583034810809107,1.0789211373626744,2.545038345598366,2.694979440847253
h100_int8,H100 INT8,int8,948.87936,59.30496,16.0,3.35,51.89443760683761,15.528301113701112,10.699482051282052,17.74301926444834,25.76642832554709,5.296423661029355,7.691471141954354,3.3419262820096596,4.850182219859832,1.4513133476251265,2.9075375676525144,4.045798761866733
b200_fp16,B200 FP16,fp16,2242.9696,70.0928,32.0,8.0,38.31774918918919,11.556101943024109,8.607101621621622,47.7059229747676,64.09109850438371,5.9632403718459495,8.011387313047964,3.3158022816093164,4.451876005847591,1.3426240854406086,3.1272697092975728,4.007812385374406
b200_int8,B200 INT8,int8,2242.9696,70.0928,32.0,8.0,33.8997427027027,13.14160400292184,4.80999891891892,20.970554582603626,57.45383263985205,2.6213193228254528,7.181729079981507,2.579574205337918,7.047765139689865,2.7321428184178274,2.4723474622141346,5.911672872659875
