case_name,case_label,system_config_path,data_type,prefill_length,batch_size,hidden_size,num_heads,head_dim,compile_mode,variant,variant_label,attention_variant,total_latency_ms,q_mul_k_ms,softmax_ms,a_mul_v_ms,compute_model_ms,fused_core_ms,hbm_io_ms,onchip_io_ms,kernel_overhead_ms,software_q_tile_size,software_kv_tile_size,logical_q_tile_size,tensor_tflops,vector_tflops,tensor_vector_ratio,source,bottleneck_component,bottleneck_ms,bottleneck_share_of_total
awsv4_fp16,AWSv4 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/AWSv4.json,fp16,65536,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,158.4312,0.0,0.0,0.0,0.0,158.1312,0.0,56.416000000000004,0.3,512,4096,512,671.08864,9.8304,68.26666666666667,fixed_tile_model,fused_core,158.1312,0.9981064335812644
awsv4_fp16,AWSv4 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/AWSv4.json,fp16,65536,1,4096,32,128,fixed-tile,flashattention,FlashAttention,flashattention,212.42159999999998,156.4544,88.7296,55.6672,212.1216,0.0,0.0,56.416000000000004,0.3,512,4096,,671.08864,9.8304,68.26666666666667,fixed_tile_model,matmul_pair,212.1216,0.9985877142437493
awsv4_fp16,AWSv4 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/AWSv4.json,fp16,131072,1,4096,32,128,fixed-tile,baseline,Unfused Attention,trivial,1792.7119999999998,224.462,1343.788,224.462,0.0,0.0,0.0,0.0,0.0,,,,671.08864,9.8304,68.26666666666667,fixed_tile_model,softmax,1343.788,0.7495838706942332
awsv4_fp16,AWSv4 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/AWSv4.json,fp16,131072,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,632.8248,0.0,0.0,0.0,0.0,632.5248,0.0,224.78933333333333,0.3,512,4096,512,671.08864,9.8304,68.26666666666667,fixed_tile_model,fused_core,632.5248,0.9995259351403423
awsv4_fp16,AWSv4 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/AWSv4.json,fp16,131072,1,4096,32,128,fixed-tile,flashattention,FlashAttention,flashattention,848.7864,625.8176,354.9184,222.6688,848.4864,0.0,0.0,224.78933333333333,0.3,512,4096,,671.08864,9.8304,68.26666666666667,fixed_tile_model,matmul_pair,848.4864,0.9996465541860708
awsv4_fp16,AWSv4 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/AWSv4.json,fp16,262144,1,4096,32,128,fixed-tile,baseline,Unfused Attention,trivial,7167.538666666667,896.6433333333334,5374.252,896.6433333333334,0.0,0.0,0.0,0.0,0.0,,,,671.08864,9.8304,68.26666666666667,fixed_tile_model,softmax,5374.252,0.7498043958930393
awsv4_fp16,AWSv4 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/AWSv4.json,fp16,262144,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,2530.3992000000003,0.0,0.0,0.0,0.0,2530.0992,0.0,897.408,0.3,512,4096,512,671.08864,9.8304,68.26666666666667,fixed_tile_model,fused_core,2530.0992,0.9998814416318184
awsv4_fp16,AWSv4 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/AWSv4.json,fp16,262144,1,4096,32,128,fixed-tile,flashattention,FlashAttention,flashattention,3394.2456,2503.2704,1419.6736,890.6752,3393.9456,0.0,0.0,897.408,0.3,512,4096,,671.08864,9.8304,68.26666666666667,fixed_tile_model,matmul_pair,3393.9456,0.9999116151170675
awsv4_fp16,AWSv4 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/AWSv4.json,fp16,524288,1,4096,32,128,fixed-tile,baseline,Unfused Attention,trivial,28665.095999999998,3584.4939999999997,21496.108,3584.4939999999997,0.0,0.0,0.0,0.0,0.0,,,,671.08864,9.8304,68.26666666666667,fixed_tile_model,softmax,21496.108,0.7499053203938337
awsv4_fp16,AWSv4 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/AWSv4.json,fp16,524288,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,10120.6968,0.0,0.0,0.0,0.0,10120.3968,0.0,3586.1333333333337,0.3,512,4096,512,671.08864,9.8304,68.26666666666667,fixed_tile_model,fused_core,10120.3968,0.9999703577722041
awsv4_fp16,AWSv4 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/AWSv4.json,fp16,524288,1,4096,32,128,fixed-tile,flashattention,FlashAttention,flashattention,13576.0824,10013.0816,5678.6944,3562.7008,13575.7824,0.0,0.0,3586.1333333333337,0.3,512,4096,,671.08864,9.8304,68.26666666666667,fixed_tile_model,matmul_pair,13575.7824,0.999977902314441
